model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
gate,0.317,0,0.19,3,7,1408,2816,0.012,0.851583896697063,22403.468666036617,21957.878724604554,0.0,24547.762032296,0.9801106717859466,0.006681013786459214,0.006748462034100086
gate,0.317,0,0.19,4,15,3328,6656,0.011999999999999997,0.6936695640959889,24982.377382601015,24214.569423392466,3.751665644813329e-12,21764.363118590565,0.9692660171027883,0.006326785603881634,0.0064263093014199175
gate,0.317,0,0.19,5,31,7296,14592,0.012,0.4994908919528128,97674.13475107873,75749.32420014852,4.092726157978177e-12,211141.32598767627,0.7755310491686944,0.0031997070164804307,0.003633378305101722
gate,0.317,0,0.19,6,63,15360,30720,0.012,0.24040111873361045,179988.99353609007,135513.41534071614,6.821210263296962e-13,1003787.842248726,0.7528983449398754,0.0023570946697163116,0.002716494653036469
gate,0.317,0,0.19,7,127,31616,63232,0.012,0.06082596852167793,236992.94611884383,180919.7207518645,1.5006662579253316e-11,3545822.443036571,0.7633970703125461,0.002054150644332037,0.0023510239083191407
gate,0.317,0,0.19,8,255,64256,128512,0.012,0.0036835819522181338,273783.01521295926,210264.82992089435,4.7919002099661157e-11,13271340.353298757,0.7679980796374167,0.001911158687514292,0.0021808042351125104
gate,0.317,0,0.19,9,511,129664,259328,0.012,1.4065432475528337e-05,309784.6417790878,237556.04193238117,2.2737367544323206e-13,15716324.905902939,0.7668425412186382,0.0017966772080592723,0.002051714650967002
gate,0.317,1,0.73,3,7,1408,2816,0.012,0.8627225209494186,22894.96783664718,22462.616230044834,0.0,24725.94417796344,0.9811158674828843,0.006608912182562048,0.006672211913988882
gate,0.317,1,0.73,4,15,3328,6656,0.012,0.7417673965132884,24321.271863243626,23399.207615362946,2.2737367544323206e-13,22197.52931091861,0.9620881566940509,0.006412197033363337,0.0065373151907595125
gate,0.317,1,0.73,5,31,7296,14592,0.011999999999999997,0.5279887471249908,107502.96463230342,83125.78661270106,7.673861546209082e-12,215468.54822448478,0.7732418068377874,0.0030499293515044656,0.0034684234672724343
gate,0.317,1,0.73,6,63,15360,30720,0.011999999999999993,0.2731389181835914,200020.0128507428,150535.08383334108,1.4836132322670892e-11,1010484.1831907496,0.7526001107982734,0.0022359561106584124,0.002577395913592651
gate,0.317,1,0.73,7,127,31616,63232,0.012,0.07447312455389411,234218.35651710763,180431.9907713593,4.149569576838985e-12,3527088.5782186827,0.7703580259653146,0.002066281728463561,0.002354199318043909
gate,0.317,1,0.73,8,255,64256,128512,0.012000000000000007,0.005461614602417379,248963.1141384622,190592.59529663145,2.9672264645341784e-11,13148476.620636083,0.7655455144677871,0.002004160489787642,0.0022905880362208983
gate,0.317,1,0.73,9,511,129664,259328,0.012,2.9590661280818125e-05,281661.44895159046,216415.8164836002,3.370814738445915e-11,15612090.844694782,0.7683544101940479,0.0018842403313859626,0.0021495893476099637
gate,0.317,2,1.31,3,7,1408,2816,0.012,0.895380906088601,24372.05186797919,23988.873520844936,7.332801033044234e-12,25240.25907967721,0.9842779611166967,0.006405513534164586,0.006456469037348747
gate,0.317,2,1.31,4,15,3328,6656,0.012,0.7584216761003348,23903.0657347179,22910.498430831827,4.604316927725449e-12,22245.01106568868,0.9584753137985801,0.006468047447553179,0.006606671774440783
gate,0.317,2,1.31,5,31,7296,14592,0.011999999999999997,0.5756843667974634,125220.56944178962,96502.2492555856,9.094947017729282e-13,219462.5857795719,0.7706581249851759,0.0028259349640603905,0.003219076384440493
gate,0.317,2,1.31,6,63,15360,30720,0.012,0.30983597759552034,225359.67428383592,169286.14453781382,2.9331204132176936e-11,1013323.6519631005,0.7511820607470411,0.0021065021021364734,0.0024304645610055517
gate,0.317,2,1.31,7,127,31616,63232,0.012,0.09620709393650895,250235.04714253946,195698.73563550797,1.0913936421275139e-11,3498223.354695217,0.7820596589894684,0.001999060473876752,0.0022605076968167316
gate,0.317,2,1.31,8,255,64256,128512,0.012000000000000004,0.00872576258852221,232707.68728622756,178543.67805340947,2.0520474208751693e-11,12905070.30296342,0.7672444350057201,0.002072977722762989,0.0023666158098657342
gate,0.317,2,1.31,9,511,129664,259328,0.011999999999999997,7.571823413013621e-05,247863.25707226776,190151.26869504646,4.729372449219227e-11,15251285.752082944,0.7671619865771608,0.002008602152922526,0.0022932446357963425
