case,qubits,setting,bond,cutoff,ordering,exact_delta,mps_delta,exact_sign,mps_sign,epsilon_lr_truncation,epsilon_mr_truncation,epsilon_lr,epsilon_mr,epsilon_pair,lr_interval,mr_interval,certified,certified_sign,correct_sign,certified_correct,normalized_certificate_ratio,exact_tvd_pair,existing_tvd_certified,existing_tvd_certified_correct
football,7,released,64,0.001,sorted,0.01926887487931439,0.051857317667490244,1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,38.56736310242702,0.07910969714478,False,False
football,7,released,64,0.001,spectral,0.019268874879312947,0.03901094660400939,1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,51.26766136442452,0.07407230828670161,False,False
football,7,confirm,128,0.0001,sorted,0.01926887487931439,0.019192413805283026,1,1,0.7402674269820715,0.4454132442151122,0.7402675269820714,0.4454133442151122,1.1856808711971836,"[0.1231902503057275, 1.0]","[0.43723684687796976, 1.0]",False,,True,False,61.77862165887677,0.013189359149689772,True,True
football,7,confirm,128,0.0001,spectral,0.019268874879312947,0.020595144084816552,1,1,0.6695349528786678,0.4116220532245909,0.6695350528786678,0.4116221532245909,1.0811572061032586,"[0.19361782549692963, 1.0]","[0.47212586923582306, 1.0]",False,,True,False,52.49573402597969,0.01591864569461615,True,True
football,7,bond128,128,1e-12,sorted,0.01926887487931439,0.0192688760226275,1,1,2.5523861384986405e-07,0.0,3.5523861384986404e-07,1e-07,4.5523861384986404e-07,"[0.862767455438215, 0.8627681659154427]","[0.8820365866994564, 0.8820367866994563]",True,1,True,True,2.3625592552221308e-05,9.320468488489678e-09,True,True
football,7,bond128,128,1e-12,spectral,0.019268874879312947,0.019268875426297738,1,1,6.724382294631619e-07,0.0,7.724382294631619e-07,1e-07,8.724382294631619e-07,"[0.8627670388394406, 0.8627685837158996]","[0.8820365867039679, 0.8820367867039678]",True,1,True,True,4.527707041338164e-05,2.2613618628850297e-08,True,True
football,7,cutoff1e-4,1024,0.0001,sorted,0.01926887487931439,0.019192413805283026,1,1,0.7402674269820715,0.4454132442151122,0.7402675269820714,0.4454133442151122,1.1856808711971836,"[0.1231902503057275, 1.0]","[0.43723684687796976, 1.0]",False,,True,False,61.77862165887677,0.013189359149689772,True,True
football,7,cutoff1e-4,1024,0.0001,spectral,0.019268874879312947,0.020595144084816552,1,1,0.6695349528786678,0.4116220532245909,0.6695350528786678,0.4116221532245909,1.0811572061032586,"[0.19361782549692963, 1.0]","[0.47212586923582306, 1.0]",False,,True,False,52.49573402597969,0.01591864569461615,True,True
football,7,cutoff1e-5,1024,1e-05,sorted,0.01926887487931439,0.01942736134952372,1,1,0.18165829386586496,0.07058251885136069,0.18165839386586496,0.07058261885136069,0.25224101271722565,"[0.6808746910597243, 1.0]","[0.8113778274237522, 0.9525430651264737]",False,,True,False,12.983801977997881,0.004020015437471259,True,True
football,7,cutoff1e-5,1024,1e-05,spectral,0.019268874879312947,0.019201603655685462,1,1,0.15765291723891106,0.07034578354259502,0.15765301723891106,0.07034588354259502,0.2279989007815061,"[0.7050204294847582, 1.0]","[0.8115291668367597, 0.9522209339219496]",False,,True,False,11.873950992317102,0.0038399178432731045,True,True
ibm32,18,released,64,0.001,sorted,-0.2461230011281299,-0.21968143006990082,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,9.104092227384065,0.7866703315835409,False,False
ibm32,18,released,64,0.001,spectral,-0.24612300112813046,-0.23394012517174845,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,8.549196075413265,0.6519800786338852,False,False
ibm32,18,confirm,128,0.0001,sorted,-0.2461230011281299,-0.2549044372349156,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,7.846077619107249,0.18538220011092443,True,True
ibm32,18,confirm,128,0.0001,spectral,-0.24612300112813046,-0.2539356273164466,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,7.876011811086528,0.1462279442891038,True,True
ibm32,18,bond128,128,1e-12,sorted,-0.2461230011281299,-0.24067150437758753,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,8.310082264089797,0.0752209577625779,True,True
ibm32,18,bond128,128,1e-12,spectral,-0.24612300112813046,-0.24294005408871838,-1,-1,0.8433616309058342,1.0,0.8433617309058341,1.0,1.843361730905834,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,7.587722567282642,0.048767614841459805,True,True
ibm32,18,cutoff1e-4,1024,0.0001,sorted,-0.2461230011281299,-0.2568107844888618,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,7.787834938398946,0.1758477499648555,True,True
ibm32,18,cutoff1e-4,1024,0.0001,spectral,-0.24612300112813046,-0.2543459795359839,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,7.863304950401417,0.14370660126918014,True,True
ibm32,18,cutoff1e-5,1024,1e-05,sorted,-0.2461230011281299,-0.2483472268378265,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,8.05324072052563,0.02502219731686093,True,True
ibm32,18,cutoff1e-5,1024,1e-05,spectral,-0.24612300112813046,-0.24781791088175686,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,8.070441691981959,0.023312008735513277,True,True
aves-sparrow-social,24,released,64,0.001,sorted,-0.012138851891427882,0.1384790227042308,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,14.44262070127172,0.698845715586253,False,False
aves-sparrow-social,24,released,64,0.001,spectral,-0.012138851891427882,0.10527255991783946,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,18.998303086396977,0.6148568459052867,False,False
aves-sparrow-social,24,confirm,128,0.0001,sorted,-0.012138851891427882,0.001344596747940685,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,1487.434803827316,0.21640975006316632,False,False
aves-sparrow-social,24,confirm,128,0.0001,spectral,-0.012138851891427882,0.0018166332853080114,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,1100.9376609880285,0.18416871101491256,False,False
aves-sparrow-social,24,bond128,128,1e-12,sorted,-0.012138851891427882,-0.0037165090616874674,-1,-1,0.947687972808707,1.0,0.9476880728087069,1.0,1.947688072808707,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,524.0638568292273,0.06027423907078973,False,False
aves-sparrow-social,24,bond128,128,1e-12,spectral,-0.012138851891427882,-0.011907334518310442,-1,-1,0.11085654505618305,0.4460629797652216,0.11085664505618305,0.4460630797652216,0.5569197248214046,"[0.2124425229498536, 0.4341558130622197]","[0.0, 0.7574549132529478]",False,,True,False,46.77114966116088,0.004043457173069661,True,True
aves-sparrow-social,24,cutoff1e-4,1024,0.0001,sorted,-0.012138851891427882,0.0008557007150979956,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,2337.2657807945834,0.2153767640302759,False,False
aves-sparrow-social,24,cutoff1e-4,1024,0.0001,spectral,-0.012138851891427882,0.0018166332853080114,-1,1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,False,False,1100.9376609880285,0.18416871101491256,False,False
aves-sparrow-social,24,cutoff1e-5,1024,1e-05,sorted,-0.012138851891427882,-0.012234769944264812,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,163.4685416326543,0.042554302691468156,False,False
aves-sparrow-social,24,cutoff1e-5,1024,1e-05,spectral,-0.012138851891427882,-0.012830924794531184,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,155.87340990825876,0.04791179258778777,False,False
