case,qubits,setting,bond,cutoff,schedule,method,ordering,p_bks_exact,p_bks_mps,actual_bks_error,true_tvd,epsilon_mps,certificate_slack_bks,certificate_slack_tvd,number_of_truncations,sum_discarded_weight,max_discarded_weight,max_bond_seen,runtime_seconds,peak_memory_bytes,circuit_sha256,raw_log_path
karate,3,cutoff1e-5,1024,1e-05,LR,published_lr,sorted,0.9088221515603738,0.9088221515603758,1.9984014443252818e-15,1.5662215177136146e-15,0.0,-1.9984014443252818e-15,-1.5662215177136146e-15,0,0,0.0,2,0.01047360000666231,94011392,16aaef638e6760a26466ae333df17b34cd5348ece69e1ec67624cfe091d17861,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-5__published_lr__sorted.mps.log
karate,3,cutoff1e-5,1024,1e-05,LR,published_lr,spectral,0.908822151560374,0.9088221515603756,1.5543122344752192e-15,2.4054820906439095e-15,0.0,-1.5543122344752192e-15,-2.4054820906439095e-15,0,0,0.0,2,0.010385399975348264,94273536,932e6ec682400982adfaf96bbf0ad3e1254e30304217729e0694bbc2f4375960,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-5__published_lr__spectral.mps.log
karate,3,cutoff1e-5,1024,1e-05,MR,prior_matched_random,sorted,0.995234158667834,0.995234158667836,1.9984014443252818e-15,1.6096573672488151e-15,0.0,-1.9984014443252818e-15,-1.6096573672488151e-15,0,0,0.0,2,0.010382800013758242,94187520,35a7e1b6ba9d9048981dd77d091e30b86f00d7b6f9e08b141d16718d567a7abe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-5__prior_matched_random__sorted.mps.log
karate,3,cutoff1e-5,1024,1e-05,MR,prior_matched_random,spectral,0.9952341586678336,0.9952341586678366,2.9976021664879227e-15,4.194293702500587e-15,0.0,-2.9976021664879227e-15,-4.194293702500587e-15,0,0,0.0,2,0.010752099973615259,94019584,fa012348762c5c8f33a85b9bce1f1986ab4c8ea8ae98d009888d3580162f4123,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-5__prior_matched_random__spectral.mps.log
karate,3,released,64,0.001,LR,published_lr,sorted,0.9088221515603738,0.9088221515603758,1.9984014443252818e-15,1.5662215177136146e-15,0.0,-1.9984014443252818e-15,-1.5662215177136146e-15,0,0,0.0,2,0.010843099968042225,94072832,16aaef638e6760a26466ae333df17b34cd5348ece69e1ec67624cfe091d17861,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__released__published_lr__sorted.mps.log
karate,3,released,64,0.001,LR,published_lr,spectral,0.908822151560374,0.9088221515603756,1.5543122344752192e-15,2.4054820906439095e-15,0.0,-1.5543122344752192e-15,-2.4054820906439095e-15,0,0,0.0,2,0.010516999987885356,94158848,932e6ec682400982adfaf96bbf0ad3e1254e30304217729e0694bbc2f4375960,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__released__published_lr__spectral.mps.log
karate,3,released,64,0.001,MR,prior_matched_random,sorted,0.995234158667834,0.995234158667836,1.9984014443252818e-15,1.6096573672488151e-15,0.0,-1.9984014443252818e-15,-1.6096573672488151e-15,0,0,0.0,2,0.01070899999467656,94199808,35a7e1b6ba9d9048981dd77d091e30b86f00d7b6f9e08b141d16718d567a7abe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__released__prior_matched_random__sorted.mps.log
karate,3,released,64,0.001,MR,prior_matched_random,spectral,0.9952341586678336,0.9952341586678366,2.9976021664879227e-15,4.194293702500587e-15,0.0,-2.9976021664879227e-15,-4.194293702500587e-15,0,0,0.0,2,0.010478500043973327,93880320,fa012348762c5c8f33a85b9bce1f1986ab4c8ea8ae98d009888d3580162f4123,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__released__prior_matched_random__spectral.mps.log
chesapeake,7,bond128,128,1e-12,LR,published_lr,sorted,0.7982931304718344,0.7982931304079401,6.389422324559746e-11,1.676028916640173e-10,0.0,-6.389422324559746e-11,-1.676028916640173e-10,0,0,0.0,8,0.019536100036930293,95703040,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__bond128__published_lr__sorted.mps.log
chesapeake,7,bond128,128,1e-12,LR,published_lr,spectral,0.7982931304718348,0.7982931304060544,6.578038114213314e-11,2.0512216061805355e-10,0.0,-6.578038114213314e-11,-2.0512216061805355e-10,0,0,0.0,8,0.018941500049550086,95596544,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__bond128__published_lr__spectral.mps.log
