cohort,geometry,n,target_id,vertices,edges,faces,physical_frequency_width_rad_per_us,normalized_min_gap,raw_spectral_cost,max_abs_flux_rad,median_abs_flux_rad,success,status,message,elapsed_seconds,objective_upper,objective_lower,mip_gap,mip_node_count,achieved_cost,circular_total_variation,constraint_error,gauge_to_raw_ratio_upper,certified_time_width_lower_rho_0p2
posthoc,geometry_B_site4_x_plus_0p001um,5,0,32,80,80,19.68693797013756,3.6347900329580796e-06,122207.20376570347,0.9292594957410231,0.26720736103554654,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.14814829999522772,690.5742276605421,690.5742276605421,0.0,1,690.5742276608105,58.319809453001014,2.6841462386073545e-10,0.005650847138148386,87.92664152323452
posthoc,geometry_B_site4_x_plus_0p001um,5,1,32,80,80,19.68693797013756,3.6347900329580796e-06,134816.2325748312,1.0131835510372098,0.3223912727695747,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3080633000063244,737.5294901424976,737.5294901424976,0.0,140,737.5294901430682,63.92385102846764,5.705942385247909e-10,0.005470628247478462,93.90517122577903
posthoc,geometry_B_site4_x_plus_0p001um,5,2,32,80,80,19.68693797013756,3.6347900329580796e-06,64893.5993599791,0.9243767486074392,0.28395677014081744,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.22629359998973086,473.89342470344826,473.89342470344826,0.0,148,473.8934247044271,73.6530834260602,9.78843672783114e-10,0.007302621974698258,60.33798483224056
posthoc,geometry_B_site4_x_plus_0p001um,5,3,32,80,80,19.68693797013756,3.6347900329580796e-06,108398.44051423806,0.9837307318967421,0.2695823067637934,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.22995560000708792,516.4766391612571,516.4766391612571,0.0,255,516.4766391620544,79.1565298349872,7.972857929416932e-10,0.004764613187340258,65.7598480912026
posthoc,geometry_B_site4_x_plus_0p001um,6,0,64,192,240,21.076432926915576,3.3951611337901255e-06,112911.22138391313,1.1401312185955252,0.25541897211746456,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18.917176500006462,1200.754183744853,1200.754183744853,0.0,3380,1200.7541838219167,132.41902618700288,7.706375981797464e-08,0.010634498228144476,152.88477102501386
posthoc,geometry_B_site4_x_plus_0p001um,6,1,64,192,240,21.076432926915576,3.3951611337901255e-06,124930.87016496921,1.0853188331597723,0.28755858174903515,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),20.974009300000034,1308.390900909379,1308.390900909379,0.0,5067,1308.390901011233,150.85755016320738,1.0185385690419935e-07,0.010472919136652693,166.58950350094872
posthoc,geometry_B_site4_x_plus_0p001um,6,2,64,192,240,21.076432926915576,3.3951611337901255e-06,100818.88923416872,1.058871511491693,0.2854309419696155,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),23.61945260000357,1464.4376062887652,1464.4376062887652,0.0,5712,1464.4376062914187,113.63875357614779,2.653450792422518e-09,0.014525428889494747,186.45798711241588
posthoc,geometry_B_site4_x_plus_0p001um,6,3,64,192,240,21.076432926915576,3.3951611337901255e-06,85703.92748049377,1.082839801812788,0.31785850432831503,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),6.850797999999486,1732.5702395886026,1732.5702395886026,0.0,1271,1732.570239588893,150.99058090827336,2.9035618354100734e-10,0.020215762457128184,220.5976943075484
posthoc,geometry_B_site4_x_plus_0p001um,7,0,128,448,672,21.21433237735319,4.5880869115055845e-07,1442709.9706622171,1.076018624757554,0.28005058399559346,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),30.330698999998276,11945.245850823672,11945.245850823672,0.0,2932,11945.245850834915,560.4890138236632,1.1243173503316939e-08,0.008279727799580324,1520.9159388852324
posthoc,geometry_B_site4_x_plus_0p001um,7,1,128,448,672,21.21433237735319,4.5880869115055845e-07,1217136.342645985,1.2922378369093572,0.30578536949437995,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),120.02563800000644,9984.835089752261,6117.642828728707,0.3873065730442129,18291,9984.835089813309,411.8937458128645,6.104710337240249e-08,0.008203546915743062,778.9224770102873
