n,instances,median_objective_lower,median_objective_upper,median_raw_cost,median_gauge_to_raw_ratio_upper,median_max_abs_flux_rad,max_mip_gap,optimal_instances
5,4,603.5254334108996,603.5254334108996,115302.82213997075,0.005560737692813424,0.9564951138188826,0.0,4
6,4,1386.4142535990723,1386.4142535990723,106865.05530904092,0.012579963558819612,1.0840793174862802,0.0,4
7,4,11969.939159694124,11969.939159694124,1097197.1159730814,0.010285850608076238,1.094049781847659,0.3873065730442129,3
8,4,4157.131762261634,68038.38595380144,5927322.336770119,0.01159584508510095,1.2174886798525866,0.9490063384237583,0
