graph_id,depth,snapshot,truth_gap,center,scale,lower,upper,decision,truth_sign,covered
n08_g00_af3908d6119c,2,primary_0,0.003171213802602389,0.0031533815189853636,0.0078110457941030385,0.0011650722374142645,0.005141690800556462,1,1,True
n08_g00_af3908d6119c,2,primary_1,0.0027302228359139856,0.0031533815189853636,0.0078110457941030385,0.0011650722374142645,0.005141690800556462,1,1,True
n08_g00_af3908d6119c,2,primary_2,0.003118409788225922,0.0031533815189853636,0.0078110457941030385,0.0011650722374142645,0.005141690800556462,1,1,True
n08_g00_af3908d6119c,3,primary_0,0.0011859101772021814,0.001141952295552019,0.001721684711494151,0.0007036957826549544,0.0015802088084490835,1,1,True
n08_g00_af3908d6119c,3,primary_1,0.0010096291950873857,0.001141952295552019,0.001721684711494151,0.0007036957826549544,0.0015802088084490835,1,1,True
n08_g00_af3908d6119c,3,primary_2,0.001020586879651046,0.001141952295552019,0.001721684711494151,0.0007036957826549544,0.0015802088084490835,1,1,True
n08_g00_af3908d6119c,4,primary_0,0.0005077178263694236,0.00044066153978178076,0.000910568575475484,0.00020887542587988653,0.000672447653683675,1,1,True
n08_g00_af3908d6119c,4,primary_1,0.0004566148400189161,0.00044066153978178076,0.000910568575475484,0.00020887542587988653,0.000672447653683675,1,1,True
n08_g00_af3908d6119c,4,primary_2,0.0005259020477826194,0.00044066153978178076,0.000910568575475484,0.00020887542587988653,0.000672447653683675,1,1,True
n08_g02_edc3d3e88a35,2,primary_0,0.00282790590162269,-0.001265490608673417,0.013033873483162822,-0.004583275743278686,0.002052294525931852,0,1,False
n08_g02_edc3d3e88a35,2,primary_1,0.002521814717224939,-0.001265490608673417,0.013033873483162822,-0.004583275743278686,0.002052294525931852,0,1,False
n08_g02_edc3d3e88a35,2,primary_2,0.0026465584069975097,-0.001265490608673417,0.013033873483162822,-0.004583275743278686,0.002052294525931852,0,1,False
n08_g02_edc3d3e88a35,3,primary_0,0.0010939789792019025,0.0007922165602214626,0.0066323237104917296,-0.0008960478719126322,0.0024804809923555573,0,1,True
n08_g02_edc3d3e88a35,3,primary_1,0.0010428662134797026,0.0007922165602214626,0.0066323237104917296,-0.0008960478719126322,0.0024804809923555573,0,1,True
n08_g02_edc3d3e88a35,3,primary_2,0.0012446214110131276,0.0007922165602214626,0.0066323237104917296,-0.0008960478719126322,0.0024804809923555573,0,1,True
n08_g02_edc3d3e88a35,4,primary_0,0.0005914759564534329,0.001150708669310226,0.00338611009127704,0.0002887710619298528,0.002012646276690599,1,1,True
n08_g02_edc3d3e88a35,4,primary_1,0.0005483182975662445,0.001150708669310226,0.00338611009127704,0.0002887710619298528,0.002012646276690599,1,1,True
n08_g02_edc3d3e88a35,4,primary_2,0.0007003285827628563,0.001150708669310226,0.00338611009127704,0.0002887710619298528,0.002012646276690599,1,1,True
n08_g04_accbc3bcabae,2,primary_0,0.002620175841621621,0.002171021616822688,0.004099511191560159,0.0011274870675517896,0.0032145561660935863,1,1,True
n08_g04_accbc3bcabae,2,primary_1,0.002272822649084044,0.002171021616822688,0.004099511191560159,0.0011274870675517896,0.0032145561660935863,1,1,True
n08_g04_accbc3bcabae,2,primary_2,0.002545199998132448,0.002171021616822688,0.004099511191560159,0.0011274870675517896,0.0032145561660935863,1,1,True
n08_g04_accbc3bcabae,3,primary_0,0.0009219772988374691,0.0009574147803561,0.0034809316270407605,7.134025909485248e-05,0.0018434893016173477,1,1,True
n08_g04_accbc3bcabae,3,primary_1,0.0009200802251032752,0.0009574147803561,0.0034809316270407605,7.134025909485248e-05,0.0018434893016173477,1,1,True
n08_g04_accbc3bcabae,3,primary_2,0.0010124212912599809,0.0009574147803561,0.0034809316270407605,7.134025909485248e-05,0.0018434893016173477,1,1,True
n08_g04_accbc3bcabae,4,primary_0,0.00047588735340887436,0.0003981487510890925,0.0018108931656434964,-6.281586032067855e-05,0.0008591133624988635,0,1,True
n08_g04_accbc3bcabae,4,primary_1,0.0004576584745496991,0.0003981487510890925,0.0018108931656434964,-6.281586032067855e-05,0.0008591133624988635,0,1,True
