method,qhat,accepted_rows,total_rows,accepted_fraction,selective_accuracy,covered_blocks,total_blocks,row_coverage,median_interval_width
cmrt,0.2545509697398236,27,108,0.25,1.0,9,12,0.9351851851851852,0.0003782991312456475
exact_noiseless,0.00034134660780934124,33,108,0.3055555555555556,1.0,10,12,0.9814814814814815,0.0006826932156186825
gate_proxy,1.3733118143018433e-05,24,108,0.2222222222222222,0.875,9,12,0.9537037037037037,0.0017578391223063595
nominal_noise,0.00020227771447808938,42,108,0.3888888888888889,1.0,10,12,0.9814814814814815,0.00040455542895617876
single_high_bond,0.0005416769101891236,21,108,0.19444444444444445,1.0,12,12,1.0,0.0010833538203782471
unscaled_ensemble,0.0005641055311135115,24,108,0.2222222222222222,0.875,11,12,0.9629629629629629,0.001128211062227023
