target_mask,gamma_per_us,fidelity
5,0.0,0.8071543997321478
5,0.1,0.7083000477810683
5,0.25,0.5898875652978867
5,0.5,0.45056327304552984
10,0.0,0.7031079218074157
10,0.1,0.6082148297262168
10,0.25,0.49801772684481677
10,0.5,0.3737189173128419
