job,model,mode,target_mask,seed,optimization_grid,midpoint_substeps_2,midpoint_substeps_4,midpoint_substeps_8,midpoint_substeps_16,midpoint_substeps_32,midpoint_substeps_64,adaptive_ode_reference,optimization_minus_reference,full_c6_adaptive_ode_transfer
full_c6:global_only:target_10,full_c6,global_only,10,4100,0.5000255107879639,0.49999901489831616,0.42933856399647113,0.4408571481584095,0.4428745096488373,0.44302424530292545,0.44305406754966514,0.4430635226438068,0.056961988144157094,
full_c6:global_only:target_10,full_c6,global_only,10,4101,0.49986058473587036,0.4998564818426979,0.2464532676849062,0.18103546824376862,0.1689036681861129,0.16596187254291303,0.16523431841658695,0.16499274028494357,0.33486784445092677,
full_c6:global_only:target_10,full_c6,global_only,10,4102,0.4963730275630951,0.4963660338903662,0.3176126640668336,0.30239601289685025,0.29054169643198574,0.2874288917120541,0.28666068408394096,0.2864051837511494,0.20996784381194572,
full_c6:global_only:target_10,full_c6,global_only,10,4103,0.4996567964553833,0.4996280900296015,0.1718855603292957,0.17414919787970212,0.17014928420408412,0.16901646494590727,0.16872102895222954,0.16862179136456878,0.3310350050908145,
full_c6:global_only:target_10,full_c6,global_only,10,4104,0.4998742341995239,0.4998393458827013,0.4046369098146632,0.40951442106172975,0.4113001206738435,0.41112800880264316,0.4110520511860564,0.41102570728978677,0.08884852690973716,
full_c6:global_only:target_10,full_c6,global_only,10,4105,0.5000091791152954,0.4999888242011627,0.39266201714775234,0.3682579805630608,0.36251439729956364,0.3610422807003234,0.36067478049058666,0.3605523751179191,0.1394568039973763,
full_c6:global_only:target_5,full_c6,global_only,5,4100,0.49998968839645386,0.499990742703371,0.3365170657570868,0.3074337739888477,0.29816876313391705,0.29582100311779946,0.29523233627724166,0.2950360405200427,0.20495364787641118,
full_c6:global_only:target_5,full_c6,global_only,5,4101,0.49931785464286804,0.4993361465552804,0.2603944773343169,0.18737113355232296,0.17216965019541977,0.16872559999919942,0.1678667377071765,0.1675808185777498,0.33173703606511823,
full_c6:global_only:target_5,full_c6,global_only,5,4102,0.49932047724723816,0.49926589498299145,0.22778830306291664,0.16768505760682073,0.1530526704261104,0.14975668278455084,0.14894317130017312,0.14867305416171206,0.3506474230855261,
full_c6:global_only:target_5,full_c6,global_only,5,4103,0.49996381998062134,0.49995451887168796,0.4256623436403242,0.42110742982394067,0.4204412557336645,0.41994538662653047,0.4196999281445782,0.41961732020150677,0.08034649977911457,
full_c6:global_only:target_5,full_c6,global_only,5,4104,0.49980369210243225,0.4997891116009632,0.09141771103273735,0.05974652481859892,0.048303448242549236,0.04574089008502281,0.04511655060103682,0.044909960144467666,0.45489373195796456,
full_c6:global_only:target_5,full_c6,global_only,5,4105,0.49995505809783936,0.49998669041676347,0.45216494093795145,0.4409213657050428,0.43754332056804696,0.43665623219030103,0.43642884567360657,0.4363530368439533,0.06360202125388603,
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4100,0.9997502565383911,0.9996737575463188,0.7718794617338701,0.703114474109608,0.6894975938360602,0.6852584507048155,0.6841715571214604,0.6838090883693092,0.3159411681690819,
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4101,0.9999390840530396,0.9998543979721835,0.12371824871452768,0.058132855005680675,0.04737748925887415,0.04479290412211088,0.04415088037271369,0.043937367067227714,0.9560017169858118,
