target_mask,draw,fidelity
5,0,0.5628829843165691
5,1,0.519038857176052
5,2,0.7468778212139141
5,3,0.09419772485163179
5,4,0.6134498937663254
5,5,0.2326834365876105
5,6,0.734260927464907
5,7,0.4963664472668032
5,8,0.07794600887935653
5,9,0.840137011801386
5,10,0.5050266370784352
5,11,0.6967806094495289
5,12,0.4591504421552185
5,13,0.06477519030044149
5,14,0.6251617458644761
5,15,0.8956330335023761
5,16,0.8170824739827954
5,17,0.8491008525051558
5,18,0.8155665299921725
5,19,0.7088272621358107
5,20,0.7611549701830943
5,21,0.2578914866048117
5,22,0.47286075556365925
5,23,0.6068656797040247
5,24,0.6063106192679311
5,25,0.805373316582623
5,26,0.7815659691881929
5,27,0.11636466017458483
5,28,0.69393099612251
5,29,0.7531998086709436
5,30,0.22749639932303373
5,31,0.7233410334550039
5,32,0.7429626992615208
5,33,0.2284568526206825
5,34,0.46897119297183026
5,35,0.6084796973211274
5,36,0.20807607414011334
5,37,0.37999147002954936
5,38,0.6317884680238004
5,39,0.2518642184103066
5,40,0.4945678509305827
5,41,0.18000062470037959
5,42,0.4902706170161205
5,43,0.20399786975702963
5,44,0.8436520126308106
5,45,0.8453623400716332
5,46,0.7668500795812144
5,47,0.6767362333359008
5,48,0.20766591702168913
5,49,0.4868290636463463
5,50,0.7721973968690673
5,51,0.5698842264437607
5,52,0.6438960868389423
5,53,0.12611793848195585
5,54,0.6906174742689215
5,55,0.37092281141230327
5,56,0.44698295064409316
5,57,0.6404796656776965
5,58,0.21341921381971402
5,59,0.7568703546019859
5,60,0.02009193915225205
5,61,0.7748465304829566
5,62,0.39666125657455276
5,63,0.06065777051424459
5,64,0.6697229698356102
5,65,0.21025868588643767
5,66,0.5829043596527228
5,67,0.5948558666477135
5,68,0.6758392720547926
5,69,0.6870815331769553
5,70,0.5525703863555737
5,71,0.2605414688132404
5,72,0.6944784518372642
5,73,0.7123854272203222
5,74,0.7905445365685912
5,75,0.563478325818942
5,76,0.7310535103639441
5,77,0.6449990971468789
5,78,0.18511930884788014
5,79,0.5415071764514625
5,80,0.5622617412324671
5,81,0.25659717187744724
5,82,0.7614658597514544
5,83,0.09935009535910443
5,84,0.7473095538717593
5,85,0.6871414232887322
5,86,0.6236870954860246
5,87,0.8907597227035459
5,88,0.568289419448077
5,89,0.8975427893272369
5,90,0.5770484061955046
5,91,0.5148143255192724
5,92,0.817213919865055
5,93,0.27416082969719174
5,94,0.6417679331856565
5,95,0.25162083610105973
5,96,0.63272318862909
5,97,0.6608318778835048
5,98,0.32130580045582163
5,99,0.674825038207967
5,100,0.804335056240185
5,101,0.633022439567076
5,102,0.6626613657290296
5,103,0.8685789633825386
5,104,0.46826055468322236
5,105,0.15852263411658268
5,106,0.2763438080762434
5,107,0.8025321052429479
5,108,0.4638849957485284
5,109,0.38340861366373097
5,110,0.786001255778132
5,111,0.5329208745495179
5,112,0.2876291644744859
5,113,0.3136872847649629
5,114,0.4691053667755288
5,115,0.8545734403958158
5,116,0.6635678451157913
5,117,0.4204122998053665
5,118,0.6324207803790842
5,119,0.8484092557297149
5,120,0.4086019393682625
5,121,0.41635621593069155
5,122,0.05366008721763574
5,123,0.7910665408935067
5,124,0.5312827990232404
5,125,0.41306040598273513
5,126,0.40404916077662884
5,127,0.7929773729287909
10,0,0.6159938721655374
10,1,0.09164603253696393
10,2,0.31436591358091875
10,3,0.840936453087704
10,4,0.509907993778434
10,5,0.2121685386527615
10,6,0.4899999786808806
10,7,0.24150392450237465
10,8,0.4134142600231773
10,9,0.45740206256988375
10,10,0.5920535097598952
10,11,0.5249315612362864
10,12,0.3604901619788583
10,13,0.3261091081717807
10,14,0.15096607555351876
10,15,0.33953268204699394
10,16,0.6815472302011677
10,17,0.47665570552742176
10,18,0.35830561366268404
10,19,0.5472401754867298
10,20,0.27600289511434917
10,21,0.7731969159641094
10,22,0.6715960660663792
10,23,0.7247907465068654
10,24,0.5018135592993259
10,25,0.18636461061548024
10,26,0.329773172942551
10,27,0.20284120227866043
10,28,0.4102696574025697
10,29,0.1999954979072068
10,30,0.5470940832324421
10,31,0.6655811373129091
10,32,0.5263330437199442
10,33,0.18613309046589643
10,34,0.09882363924127242
10,35,0.2678085846842564
10,36,0.3767127327497045
10,37,0.49586259377684544
10,38,0.5440794899106508
10,39,0.8248922241108928
10,40,0.6565561842284805
10,41,0.4816150415576186
10,42,0.2599700603321436
10,43,0.47799417195507576
10,44,0.6275939701364215
10,45,0.3732963008096709
10,46,0.5522511999695279
10,47,0.48404268030825887
10,48,0.26622851238468603
10,49,0.14741267438215996
10,50,0.49649174147137515
10,51,0.26278029340716896
10,52,0.7699618789595615
10,53,0.4628991271084028
10,54,0.45059081610641133
10,55,0.5098869345789943
10,56,0.7444336918527579
10,57,0.726672770092945
10,58,0.38134626257999615
10,59,0.6057843139628976
10,60,0.5384696301159358
10,61,0.6817464999476361
10,62,0.20966614306714115
10,63,0.2495786223085347
10,64,0.14964142605275607
10,65,0.39644599840661326
10,66,0.21248050812429647
10,67,0.2228717183995111
10,68,0.17885199106309105
10,69,0.7626033537231272
10,70,0.05950220142417383
10,71,0.31382152543033964
10,72,0.6239632266597174
10,73,0.6082635913109292
10,74,0.5897332971311264
10,75,0.4076079611001755
10,76,0.24596452539585237
10,77,0.40483459541971034
10,78,0.446186548148864
10,79,0.6296958501068581
10,80,0.48499714358532536
10,81,0.6512601032436165
10,82,0.8053085151582342
10,83,0.7337887383394265
10,84,0.24442845746818692
10,85,0.3853908020638717
10,86,0.11486713039205612
10,87,0.6449424549487985
10,88,0.5393927189713555
10,89,0.32357198697525713
10,90,0.2469930829930672
10,91,0.6005754794766014
10,92,0.23153534434226583
10,93,0.4232824762152811
10,94,0.45958681796927503
10,95,0.29580832897105325
10,96,0.6584553988108525
10,97,0.17078513395770592
10,98,0.43504900691856385
10,99,0.6024508616834603
10,100,0.34335312603954843
10,101,0.28192050208662917
10,102,0.7246934842644882
10,103,0.3144569589314497
10,104,0.10675731712683928
10,105,0.5027595616371618
10,106,0.6108453998089827
10,107,0.1230933440999282
10,108,0.3852397867366164
10,109,0.40206512357332236
10,110,0.6267758052162739
10,111,0.3382802908888776
10,112,0.43309601531262315
10,113,0.13141469702272188
10,114,0.2978896722347756
10,115,0.02721495056828654
10,116,0.21953043637737973
10,117,0.6308144132991803
10,118,0.8438557620219436
10,119,0.7759047822450322
10,120,0.5164789210187375
10,121,0.5300236204669428
10,122,0.8299023027658519
10,123,0.5912078106068365
10,124,0.3987177675349474
10,125,0.1740751602584307
10,126,0.49974264422533776
10,127,0.794092243426904
