petal_size,internal_edges,hub_neighbors,leaf_count,signatures,best_time,best_slope,best_r2,k3_difference,screen_records
3,"[[0, 1], [1, 2]]",[0],1,"['DpC', 'GpE?GC', 'JpE?GE??G?_']",10.0,0.003756895978848835,0.005527583404600911,0.030081740344045926,"{""10.0"": {""absolute_differences"": [0.0816746102601077, 0.0748434732311718, 0.030081740344045926], ""fit"": {""intercept"": 0.17348617415910528, ""r2"": 0.005527583404600911, ""slope"": 0.003756895978848835}, ""log_ratios"": [0.1481494836515486, 0.2391871390896141, 0.1556632756092463]}, ""5.0"": {""absolute_differences"": [0.24941701126390037, 0.16213707558555368, 0.11442961439730809], ""fit"": {""intercept"": 0.4395019368184056, ""r2"": 0.9408821302709003, ""slope"": -0.04694182589735337}, ""log_ratios"": [0.39935357258442333, 0.33203136169695646, 0.30546992078971663]}}"
3,"[[0, 2], [1, 2]]",[1],1,"['DcK', 'GcKC?K', 'JcKC?K?_?@_']",10.0,0.003756895978848436,0.005527583404599468,0.030081740344045788,"{""10.0"": {""absolute_differences"": [0.08167461026010792, 0.07484347323117185, 0.030081740344045788], ""fit"": {""intercept"": 0.17348617415910628, ""r2"": 0.005527583404599468, ""slope"": 0.003756895978848436}, ""log_ratios"": [0.14814948365154879, 0.23918713908961478, 0.15566327560924575]}, ""5.0"": {""absolute_differences"": [0.2494170112639008, 0.16213707558555235, 0.11442961439730759], ""fit"": {""intercept"": 0.4395019368184073, ""r2"": 0.9408821302708918, ""slope"": -0.04694182589735472}, ""log_ratios"": [0.39935357258442433, 0.3320313616969542, 0.30546992078971513]}}"
3,"[[0, 2], [1, 2]]",[0],1,"['DoK', 'GoM??K', 'JoM??M???@_']",10.0,0.0037568959788482708,0.005527583404600023,0.030081740344045954,"{""10.0"": {""absolute_differences"": [0.08167461026010858, 0.07484347323117163, 0.030081740344045954], ""fit"": {""intercept"": 0.17348617415910705, ""r2"": 0.005527583404600023, ""slope"": 0.0037568959788482708}, ""log_ratios"": [0.14814948365155012, 0.23918713908961392, 0.1556632756092467]}, ""5.0"": {""absolute_differences"": [0.2494170112639008, 0.16213707558555235, 0.11442961439730809], ""fit"": {""intercept"": 0.4395019368184063, ""r2"": 0.940882130270886, ""slope"": -0.046941825897353975}, ""log_ratios"": [0.39935357258442433, 0.3320313616969542, 0.30546992078971663]}}"
3,"[[0, 1], [0, 2]]",[2],1,"['D`g', 'G`g?KG', 'J`g?KG??K@?']",10.0,0.003756895978847989,0.0055275834045985794,0.030081740344045843,"{""10.0"": {""absolute_differences"": [0.08167461026010825, 0.07484347323117219, 0.030081740344045843], ""fit"": {""intercept"": 0.17348617415910766, ""r2"": 0.0055275834045985794, ""slope"": 0.003756895978847989}, ""log_ratios"": [0.14814948365154973, 0.23918713908961547, 0.15566327560924575]}, ""5.0"": {""absolute_differences"": [0.24941701126389992, 0.1621370755855529, 0.11442961439730881], ""fit"": {""intercept"": 0.43950193681840316, ""r2"": 0.9408821302708876, ""slope"": -0.04694182589735228}, ""log_ratios"": [0.3993535725844227, 0.3320313616969552, 0.30546992078971824]}}"
3,"[[0, 1], [0, 2]]","[0, 2]",1,"['Dpg', 'Gpi?KG', 'Jpi?KI??K@?']",10.0,0.0034200274706521895,0.0760024077624073,0.07849441665469484,"{""10.0"": {""absolute_differences"": [0.22057004335473746, 0.13608645109675221, 0.07849441665469484], ""fit"": {""intercept"": 0.4684664821531487, ""r2"": 0.0760024077624073, ""slope"": 0.0034200274706521895}, ""log_ratios"": [0.46500171941092633, 0.4890761175202019, 0.47184177435223085]}, ""5.0"": {""absolute_differences"": [0.1324023324744268, 0.0664709752071384, 0.046367977786008374], ""fit"": {""intercept"": 0.22198276238080872, ""r2"": 0.8457011095764264, ""slope"": -0.03965811399491334}, ""log_ratios"": [0.19210477282732671, 0.12310628550811953, 0.11278854483750009]}}"
3,"[[0, 1], [1, 2]]","[0, 1]",1,"['DtC', 'GtECGC', 'JtECGE?_G?_']",10.0,0.003420027470650562,0.07600240776228706,0.0784944166546945,"{""10.0"": {""absolute_differences"": [0.22057004335473784, 0.13608645109675382, 0.0784944166546945], ""fit"": {""intercept"": 0.4684664821531539, ""r2"": 0.07600240776228706, ""slope"": 0.003420027470650562}, ""log_ratios"": [0.4650017194109273, 0.48907611752020924, 0.4718417743522285]}, ""5.0"": {""absolute_differences"": [0.13240233247442723, 0.06647097520713952, 0.046367977786007764], ""fit"": {""intercept"": 0.2219827623808111, ""r2"": 0.845701109576454, ""slope"": -0.03965811399491432}, ""log_ratios"": [0.19210477282732727, 0.1231062855081215, 0.1127885448374987]}}"
3,"[[0, 1], [0, 2]]","[0, 1]",1,"['DtG', 'GtICGG', 'JtICGI?_G@?']",10.0,0.003420027470649652,0.07600240776224498,0.07849441665469431,"{""10.0"": {""absolute_differences"": [0.22057004335473784, 0.13608645109675382, 0.07849441665469431], ""fit"": {""intercept"": 0.46846648215315523, ""r2"": 0.07600240776224498, ""slope"": 0.003420027470649652}, ""log_ratios"": [0.4650017194109273, 0.48907611752020924, 0.47184177435222685]}, ""5.0"": {""absolute_differences"": [0.13240233247442657, 0.0664709752071384, 0.04636797778600826], ""fit"": {""intercept"": 0.22198276238080844, ""r2"": 0.8457011095764285, ""slope"": -0.03965811399491328}, ""log_ratios"": [0.19210477282732635, 0.12310628550811953, 0.1127885448374999]}}"
3,"[[0, 2], [1, 2]]","[1, 2]",1,"['Dck', 'GckCCK', 'JckCCK?_C@_']",10.0,0.003420027470648948,0.07600240776228329,0.07849441665469434,"{""10.0"": {""absolute_differences"": [0.22057004335473895, 0.13608645109675185, 0.07849441665469434], ""fit"": {""intercept"": 0.46846648215315506, ""r2"": 0.07600240776228329, ""slope"": 0.003420027470648948}, ""log_ratios"": [0.46500171941092966, 0.48907611752020136, 0.4718417743522278]}, ""5.0"": {""absolute_differences"": [0.1324023324744268, 0.06647097520713785, 0.0463679777860071], ""fit"": {""intercept"": 0.22198276238081066, ""r2"": 0.8457011095764424, ""slope"": -0.03965811399491495}, ""log_ratios"": [0.19210477282732671, 0.12310628550811856, 0.11278854483749691]}}"
3,"[[0, 1], [1, 2]]","[1, 2]",1,"['Ddc', 'GdcCKC', 'JdcCKC?_K?_']",10.0,0.0034200274706487855,0.07600240776223588,0.07849441665469434,"{""10.0"": {""absolute_differences"": [0.22057004335473868, 0.13608645109675324, 0.07849441665469434], ""fit"": {""intercept"": 0.468466482153157, ""r2"": 0.07600240776223588, ""slope"": 0.0034200274706487855}, ""log_ratios"": [0.46500171941092955, 0.4890761175202067, 0.47184177435222724]}, ""5.0"": {""absolute_differences"": [0.13240233247442723, 0.06647097520713874, 0.046367977786007486], ""fit"": {""intercept"": 0.22198276238081113, ""r2"": 0.8457011095764462, ""slope"": -0.03965811399491472}, ""log_ratios"": [0.19210477282732727, 0.12310628550811993, 0.11278854483749791]}}"
3,"[[0, 2], [1, 2]]","[0, 2]",1,"['Dok', 'Gom?CK', 'Jom?CM??C@_']",10.0,0.0034200274706480695,0.07600240776223233,0.078494416654694,"{""10.0"": {""absolute_differences"": [0.22057004335473868, 0.13608645109675185, 0.078494416654694], ""fit"": {""intercept"": 0.46846648215315567, ""r2"": 0.07600240776223233, ""slope"": 0.0034200274706480695}, ""log_ratios"": [0.465001719410929, 0.48907611752020136, 0.4718417743522252]}, ""5.0"": {""absolute_differences"": [0.13240233247442657, 0.0664709752071383, 0.04636797778600793], ""fit"": {""intercept"": 0.22198276238080894, ""r2"": 0.8457011095764326, ""slope"": -0.03965811399491365}, ""log_ratios"": [0.19210477282732635, 0.12310628550811933, 0.1127885448374991]}}"
3,"[[0, 1], [0, 2]]",[1],2,"['EocO', 'HocOCCA', 'KocOCCA?C?_A']",5.0,-8.609582078697344e-05,0.0019572693263812946,0.09588739884354963,"{""10.0"": {""absolute_differences"": [0.12466091861962841, 0.056186412178881595, 0.03129381933298753], ""fit"": {""intercept"": 0.32258166152513473, ""r2"": 0.8635420557923588, ""slope"": -0.045565594278371944}, ""log_ratios"": [0.28747371662845617, 0.2105351742050041, 0.19634252807171235]}, ""5.0"": {""absolute_differences"": [0.1671893413098432, 0.12807694740098324, 0.09588739884354963], ""fit"": {""intercept"": 0.2568233830673733, ""r2"": 0.0019572693263812946, ""slope"": -8.609582078697344e-05}, ""log_ratios"": [0.2556148276529558, 0.2588961106130602, 0.25544263601138195]}}"
3,"[[0, 1], [1, 2]]",[0],2,"['EsCG', 'HsCK?C@', 'KsCK?C@_??_@']",5.0,-8.609582078841074e-05,0.001957269326447353,0.09588739884354913,"{""10.0"": {""absolute_differences"": [0.12466091861962808, 0.05618641217888268, 0.03129381933298714], ""fit"": {""intercept"": 0.3225816615251372, ""r2"": 0.8635420557924047, ""slope"": -0.04556559427837306}, ""log_ratios"": [0.28747371662845567, 0.21053517420500786, 0.19634252807170963]}, ""5.0"": {""absolute_differences"": [0.1671893413098442, 0.1280769474009838, 0.09588739884354913], ""fit"": {""intercept"": 0.25682338306737656, ""r2"": 0.001957269326447353, ""slope"": -8.609582078841074e-05}, ""log_ratios"": [0.2556148276529575, 0.25889611061306106, 0.25544263601138073]}}"
3,"[[0, 1], [0, 2]]",[2],2,"['EoEO', 'HoEO?EA', 'KoEO?EA???oA']",5.0,-8.60958207890383e-05,0.00195726932650675,0.09588739884354847,"{""10.0"": {""absolute_differences"": [0.12466091861962886, 0.0561864121788819, 0.031293819332987416], ""fit"": {""intercept"": 0.32258166152513723, ""r2"": 0.8635420557923714, ""slope"": -0.04556559427837289}, ""log_ratios"": [0.28747371662845733, 0.21053517420500534, 0.19634252807171163]}, ""5.0"": {""absolute_differences"": [0.16718934130984353, 0.1280769474009834, 0.09588739884354847], ""fit"": {""intercept"": 0.2568233830673766, ""r2"": 0.00195726932650675, ""slope"": -8.60958207890383e-05}, ""log_ratios"": [0.2556148276529565, 0.25889611061306056, 0.2554426360113785]}}"
3,"[[0, 1], [1, 2]]",[2],2,"['EoEG', 'HoEG?E@', 'KoEG?E@???o@']",5.0,-8.60958207894202e-05,0.00195726932652196,0.09588739884354813,"{""10.0"": {""absolute_differences"": [0.1246609186196278, 0.05618641217888268, 0.03129381933298722], ""fit"": {""intercept"": 0.32258166152513584, ""r2"": 0.8635420557924021, ""slope"": -0.04556559427837242}, ""log_ratios"": [0.287473716628455, 0.21053517420500786, 0.19634252807171018]}, ""5.0"": {""absolute_differences"": [0.16718934130984342, 0.1280769474009838, 0.09588739884354813], ""fit"": {""intercept"": 0.2568233830673772, ""r2"": 0.00195726932652196, ""slope"": -8.60958207894202e-05}, ""log_ratios"": [0.25561482765295634, 0.25889611061306106, 0.2554426360113776]}}"
3,"[[0, 2], [1, 2]]",[1],2,"['Eo_W', 'Ho_WC?B', 'Ko_WC?B?C??B']",5.0,-8.609582079006736e-05,0.001957269326552491,0.09588739884354758,"{""10.0"": {""absolute_differences"": [0.12466091861962669, 0.05618641217888293, 0.03129381933298783], ""fit"": {""intercept"": 0.3225816615251297, ""r2"": 0.8635420557923836, ""slope"": -0.04556559427836912}, ""log_ratios"": [0.28747371662845217, 0.21053517420500822, 0.196342528071714]}, ""5.0"": {""absolute_differences"": [0.1671893413098441, 0.12807694740098363, 0.09588739884354758], ""fit"": {""intercept"": 0.25682338306737845, ""r2"": 0.001957269326552491, ""slope"": -8.609582079006736e-05}, ""log_ratios"": [0.2556148276529572, 0.2588961106130609, 0.2554426360113771]}}"
3,"[[0, 2], [1, 2]]",[0],2,"['Es?W', 'Hs?[??B', 'Ks?[??B_???B']",5.0,-8.609582079035306e-05,0.001957269326528732,0.09588739884354724,"{""10.0"": {""absolute_differences"": [0.12466091861962614, 0.05618641217888298, 0.03129381933298753], ""fit"": {""intercept"": 0.3225816615251292, ""r2"": 0.8635420557924021, ""slope"": -0.04556559427836943}, ""log_ratios"": [0.28747371662845067, 0.21053517420500859, 0.19634252807171182]}, ""5.0"": {""absolute_differences"": [0.16718934130984375, 0.12807694740098452, 0.09588739884354724], ""fit"": {""intercept"": 0.25682338306737934, ""r2"": 0.001957269326528732, ""slope"": -8.609582079035306e-05}, ""log_ratios"": [0.2556148276529567, 0.25889611061306295, 0.25544263601137607]}}"
3,"[[0, 1], [0, 2], [1, 2]]","[0, 2]",2,"['EsEW', 'HsE[?EB', 'KsE[?EB_??oB']",5.0,-0.00921140278219973,0.8112349351076698,0.11279562645885821,"{""10.0"": {""absolute_differences"": [0.16274776977305633, 0.04727846126899676, 0.008007887695293703], ""fit"": {""intercept"": 0.4115617946789394, ""r2"": 0.9474677977644606, ""slope"": -0.13602784499680617}, ""log_ratios"": [0.2940265407098512, 0.10252092262989107, 0.021970850716238995]}, ""5.0"": {""absolute_differences"": [0.13292360341486786, 0.11640779324962436, 0.11279562645885821], ""fit"": {""intercept"": 0.15595711270956877, ""r2"": 0.8112349351076698, ""slope"": -0.00921140278219973}, ""log_ratios"": [0.14931109541688825, 0.13240353616613074, 0.13088828985248888]}}"
3,"[[0, 1], [0, 2], [1, 2]]","[0, 1]",2,"['EscW', 'Hsc[CCB', 'Ksc[CCB_C?_B']",5.0,-0.009211402782200291,0.811234935107543,0.11279562645885743,"{""10.0"": {""absolute_differences"": [0.16274776977305555, 0.04727846126899565, 0.008007887695294036], ""fit"": {""intercept"": 0.41156179467893594, ""r2"": 0.9474677977644556, ""slope"": -0.13602784499680498}, ""log_ratios"": [0.2940265407098497, 0.10252092262988846, 0.021970850716239863]}, ""5.0"": {""absolute_differences"": [0.13292360341486797, 0.11640779324962092, 0.11279562645885743], ""fit"": {""intercept"": 0.15595711270956822, ""r2"": 0.811234935107543, ""slope"": -0.009211402782200291}, ""log_ratios"": [0.14931109541688845, 0.13240353616612666, 0.1308882898524879]}}"
3,"[[0, 1], [0, 2], [1, 2]]","[1, 2]",2,"['EoeW', 'HoeWCEB', 'KoeWCEB?C?oB']",5.0,-0.009211402782200602,0.8112349351075179,0.11279562645885721,"{""10.0"": {""absolute_differences"": [0.16274776977305555, 0.04727846126899632, 0.008007887695294091], ""fit"": {""intercept"": 0.4115617946789361, ""r2"": 0.9474677977644582, ""slope"": -0.13602784499680481}, ""log_ratios"": [0.2940265407098497, 0.10252092262989007, 0.02197085071624008]}, ""5.0"": {""absolute_differences"": [0.1329236034148683, 0.11640779324962025, 0.11279562645885721], ""fit"": {""intercept"": 0.15595711270956866, ""r2"": 0.8112349351075179, ""slope"": -0.009211402782200602}, ""log_ratios"": [0.14931109541688883, 0.13240353616612588, 0.1308882898524877]}}"
2,"[[0, 1]]","[0, 1]",2,"['Dsc', 'FseCG', 'HseCKA@']",5.0,-0.010116272794062004,0.988288112261217,0.09621830713476298,"{""10.0"": {""absolute_differences"": [0.26558351632961863, 0.23091619704218902, 0.16111039597340782], ""fit"": {""intercept"": 0.49082193607096763, ""r2"": 0.9362955948159482, ""slope"": -0.07564855444317188}, ""log_ratios"": [0.4037809023139398, 0.36230978581233564, 0.25248379342759614]}, ""5.0"": {""absolute_differences"": [0.11392409390863467, 0.10677752053696399, 0.09621830713476298], ""fit"": {""intercept"": 0.13456693605748618, ""r2"": 0.988288112261217, ""slope"": -0.010116272794062004}, ""log_ratios"": [0.1238148470924057, 0.11560602281139903, 0.10358230150428176]}}"
3,"[[0, 1]]","[0, 1, 2]",1,"['Dt_', 'GtaCK?', 'JtaCKA?_K??']",5.0,-0.01035660004583768,0.9258831697075194,0.09171160967264436,"{""10.0"": {""absolute_differences"": [0.26558351632961996, 0.1974109125536258, 0.11681329649383937], ""fit"": {""intercept"": 0.4884684620975713, ""r2"": 0.916214839937497, ""slope"": -0.07209955626925238}, ""log_ratios"": [0.4037809023139416, 0.3694453565878213, 0.25958178977543694]}, ""5.0"": {""absolute_differences"": [0.11392409390863412, 0.10696931054187886, 0.09171160967264436], ""fit"": {""intercept"": 0.13586319992887283, ""r2"": 0.9258831697075194, ""slope"": -0.01035660004583768}, ""log_ratios"": [0.12381484709240512, 0.1185335054184575, 0.10310164700072982]}}"
3,"[[1, 2]]","[0, 1, 2]",1,"['Dsc', 'GseCCC', 'JseCCE?_C?_']",5.0,-0.010356600045840367,0.9258831697075672,0.09171160967264025,"{""10.0"": {""absolute_differences"": [0.26558351632961863, 0.19741091255362575, 0.1168132964938377], ""fit"": {""intercept"": 0.48846846209757117, ""r2"": 0.9162148399374913, ""slope"": -0.07209955626925324}, ""log_ratios"": [0.4037809023139398, 0.3694453565878205, 0.2595817897754335]}, ""5.0"": {""absolute_differences"": [0.11392409390863467, 0.10696931054187664, 0.09171160967264025], ""fit"": {""intercept"": 0.135863199928876, ""r2"": 0.9258831697075672, ""slope"": -0.010356600045840367}, ""log_ratios"": [0.1238148470924057, 0.11853350541845493, 0.10310164700072502]}}"
3,"[[0, 2]]","[0, 1, 2]",1,"['Dsg', 'GsiCCG', 'JsiCCI?_C@?']",5.0,-0.010356600045840568,0.9258831697075379,0.0917116096726397,"{""10.0"": {""absolute_differences"": [0.2655835163296205, 0.1974109125536253, 0.1168132964938377], ""fit"": {""intercept"": 0.4884684620975744, ""r2"": 0.9162148399375021, ""slope"": -0.07209955626925461}, ""log_ratios"": [0.4037809023139425, 0.3694453565878199, 0.25958178977543334]}, ""5.0"": {""absolute_differences"": [0.11392409390863445, 0.1069693105418773, 0.0917116096726397], ""fit"": {""intercept"": 0.13586319992887633, ""r2"": 0.9258831697075379, ""slope"": -0.010356600045840568}, ""log_ratios"": [0.1238148470924055, 0.11853350541845573, 0.10310164700072441]}}"
2,"[[0, 1]]",[0],2,"['DsC', 'FsE?G', 'HsE?K?@']",10.0,-0.011239439049762231,0.4209438156452584,0.24564389788724694,"{""10.0"": {""absolute_differences"": [0.2837013205745712, 0.2752672042031848, 0.24564389788724694], ""fit"": {""intercept"": 0.45715764607729314, ""r2"": 0.4209438156452584, ""slope"": -0.011239439049762231}, ""log_ratios"": [0.4383073722396659, 0.4499004375534985, 0.4158284941401416]}, ""5.0"": {""absolute_differences"": [0.14826465622394902, 0.11314766380258046, 0.0988985829056862], ""fit"": {""intercept"": 0.1890387161071616, ""r2"": 0.9407433525828203, ""slope"": -0.028864725777323873}, ""log_ratios"": [0.16435652710087095, 0.12294419101044728, 0.10662707554622328]}}"
2,"[[0, 1]]",[1],2,"['Doc', 'FocCG', 'HocCGA@']",10.0,-0.011239439049763158,0.4209438156453481,0.24564389788724705,"{""10.0"": {""absolute_differences"": [0.2837013205745723, 0.27526720420318435, 0.24564389788724705], ""fit"": {""intercept"": 0.45715764607729553, ""r2"": 0.4209438156453481, ""slope"": -0.011239439049763158}, ""log_ratios"": [0.4383073722396681, 0.4499004375534975, 0.4158284941401419]}, ""5.0"": {""absolute_differences"": [0.1482646562239488, 0.11314766380258057, 0.09889858290568776], ""fit"": {""intercept"": 0.18903871610716025, ""r2"": 0.9407433525828112, ""slope"": -0.028864725777322905}, ""log_ratios"": [0.16435652710087076, 0.12294419101044748, 0.10662707554622507]}}"
2,"[[0, 1]]","[0, 1]",1,"['Ct', 'EtaG', 'GtaKCC']",5.0,-0.013203833035344637,0.6142383729822487,0.10136488688988765,"{""10.0"": {""absolute_differences"": [0.3938437463400196, 0.277857613282395, 0.173765808500435], ""fit"": {""intercept"": 0.6852782955042909, ""r2"": 0.9976376596195407, ""slope"": -0.15447203645734645}, ""log_ratios"": [0.5351461025012286, 0.3676545356810294, 0.22620202958653612]}, ""5.0"": {""absolute_differences"": [0.12482084919327707, 0.09695591855626529, 0.10136488688988765], ""fit"": {""intercept"": 0.14051891102556047, ""r2"": 0.6142383729822487, ""slope"": -0.013203833035344637}, ""log_ratios"": [0.13335637846654483, 0.10202864400221322, 0.10694871239585561]}}"
3,"[[0, 2], [1, 2]]","[0, 1, 2]",2,"['EsaW', 'Hsa[CAB', 'Ksa[CAB_C?OB']",10.0,-0.015052638199712469,0.14518941689510356,0.059933891189646704,"{""10.0"": {""absolute_differences"": [0.18009920233932436, 0.1157261264840781, 0.059933891189646704], ""fit"": {""intercept"": 0.48391615478570954, ""r2"": 0.14518941689510356, ""slope"": -0.015052638199712469}, ""log_ratios"": [0.44777629020081494, 0.4959853311566486, 0.4176710138013901]}, ""5.0"": {""absolute_differences"": [0.12108258179668463, 0.08242140732652492, 0.05695248457935653], ""fit"": {""intercept"": 0.19489332123595157, ""r2"": 0.9941208884160416, ""slope"": -0.01730517060226556}, ""log_ratios"": [0.17835648721281191, 0.15874630687316849, 0.14374614600828092]}}"
3,"[[0, 1], [0, 2]]","[0, 1, 2]",2,"['EseO', 'HseSCEA', 'KseSCEA_C?oA']",10.0,-0.015052638199712844,0.1451894168951433,0.059933891189646885,"{""10.0"": {""absolute_differences"": [0.1800992023393258, 0.11572612648407643, 0.059933891189646885], ""fit"": {""intercept"": 0.4839161547857106, ""r2"": 0.1451894168951433, ""slope"": -0.015052638199712844}, ""log_ratios"": [0.4477762902008183, 0.49598533115664306, 0.4176710138013929]}, ""5.0"": {""absolute_differences"": [0.12108258179668407, 0.08242140732652548, 0.05695248457935803], ""fit"": {""intercept"": 0.19489332123594874, ""r2"": 0.99412088841604, ""slope"": -0.017305170602263456}, ""log_ratios"": [0.17835648721281117, 0.15874630687316982, 0.14374614600828436]}}"
3,"[[0, 1], [1, 2]]","[0, 1, 2]",2,"['EseG', 'HseKCE@', 'KseKCE@_C?o@']",10.0,-0.015052638199713158,0.14518941689512643,0.05993389118964655,"{""10.0"": {""absolute_differences"": [0.1800992023393248, 0.11572612648407724, 0.05993389118964655], ""fit"": {""intercept"": 0.4839161547857103, ""r2"": 0.14518941689512643, ""slope"": -0.015052638199713158}, ""log_ratios"": [0.44777629020081605, 0.4959853311566458, 0.41767101380138993]}, ""5.0"": {""absolute_differences"": [0.12108258179668363, 0.08242140732652492, 0.05695248457935853], ""fit"": {""intercept"": 0.19489332123594633, ""r2"": 0.9941208884160309, ""slope"": -0.017305170602262367}, ""log_ratios"": [0.17835648721281044, 0.15874630687316849, 0.14374614600828572]}}"
3,"[[0, 1]]","[0, 1, 2]",2,"['Ese?', 'HseCCE?', 'KseCCE?_C?o?']",5.0,-0.016682356528195254,0.9972332049072112,0.08970465881941692,"{""10.0"": {""absolute_differences"": [0.2334945286880863, 0.166119644840239, 0.0976466821199603], ""fit"": {""intercept"": 0.5200408586710374, ""r2"": 0.9658317599105174, ""slope"": -0.08438515976589005}, ""log_ratios"": [0.42649210122842296, 0.3695977344927064, 0.25772178169664295]}, ""5.0"": {""absolute_differences"": [0.12207041053422729, 0.10440763761849714, 0.08970465881941692], ""fit"": {""intercept"": 0.1526035604191212, ""r2"": 0.9972332049072112, ""slope"": -0.016682356528195254}, ""log_ratios"": [0.13642852963865032, 0.11822419586728189, 0.10306381658225985]}}"
3,"[[1, 2]]","[0, 1, 2]",2,"['EsaG', 'HsaKCA@', 'KsaKCA@_C?O@']",5.0,-0.016682356528195465,0.9972332049072049,0.0897046588194167,"{""10.0"": {""absolute_differences"": [0.2334945286880868, 0.16611964484023906, 0.09764668211996064], ""fit"": {""intercept"": 0.5200408586710377, ""r2"": 0.9658317599105184, ""slope"": -0.08438515976588981}, ""log_ratios"": [0.4264921012284235, 0.3695977344927067, 0.257721781696644]}, ""5.0"": {""absolute_differences"": [0.12207041053422751, 0.10440763761849592, 0.0897046588194167], ""fit"": {""intercept"": 0.15260356041912124, ""r2"": 0.9972332049072049, ""slope"": -0.016682356528195465}, ""log_ratios"": [0.1364285296386507, 0.11822419586728031, 0.10306381658225985]}}"
3,"[[0, 2]]","[0, 1, 2]",2,"['EsaO', 'HsaSCAA', 'KsaSCAA_C?OA']",5.0,-0.01668235652819751,0.9972332049072052,0.08970465881941592,"{""10.0"": {""absolute_differences"": [0.2334945286880874, 0.16611964484023956, 0.09764668211996053], ""fit"": {""intercept"": 0.5200408586710402, ""r2"": 0.9658317599105186, ""slope"": -0.08438515976589075}, ""log_ratios"": [0.4264921012284251, 0.3695977344927076, 0.25772178169664367]}, ""5.0"": {""absolute_differences"": [0.12207041053423018, 0.10440763761849658, 0.08970465881941592], ""fit"": {""intercept"": 0.15260356041912634, ""r2"": 0.9972332049072052, ""slope"": -0.01668235652819751}, ""log_ratios"": [0.13642852963865382, 0.11822419586728129, 0.10306381658225885]}}"
3,"[[0, 1], [0, 2], [1, 2]]","[0, 1, 2]",2,"['EseW', 'Hse[CEB', 'Kse[CEB_C?oB']",10.0,-0.01764171516637791,0.08172270488342559,0.03899649124104193,"{""10.0"": {""absolute_differences"": [0.087413601758358, 0.012957759075958142, 0.03899649124104193], ""fit"": {""intercept"": 0.1306374708738113, ""r2"": 0.08172270488342559, ""slope"": -0.01764171516637791}, ""log_ratios"": [0.14713828851499758, 0.027068974925927067, 0.1118548581822418]}, ""5.0"": {""absolute_differences"": [0.1336166633072542, 0.12712304764605376, 0.09798517482418179], ""fit"": {""intercept"": 0.17357940284837578, ""r2"": 0.8411267636999159, ""slope"": -0.018728888367556772}, ""log_ratios"": [0.15015107545702092, 0.14552050416085824, 0.11269329872190745]}}"
3,"[[1, 2]]","[0, 2]",1,"['Doc', 'Goe?CC', 'Joe?CE??C?_']",5.0,-0.018635247271410475,0.8640017518621703,0.11172446241732692,"{""10.0"": {""absolute_differences"": [0.2837013205745723, 0.19955726852158834, 0.1682571236184326], ""fit"": {""intercept"": 0.442881907408755, ""r2"": 0.363161662991766, ""slope"": -0.01942862415903588}, ""log_ratios"": [0.4383073722396681, 0.37431648111078475, 0.3994501239215965]}, ""5.0"": {""absolute_differences"": [0.1482646562239488, 0.11910669965166287, 0.11172446241732692], ""fit"": {""intercept"": 0.1787231899226713, ""r2"": 0.8640017518621703, ""slope"": -0.018635247271410475}, ""log_ratios"": [0.16435652710087076, 0.1329155264806305, 0.12708603255804987]}}"
3,"[[1, 2]]","[0, 1]",1,"['DsC', 'GsEC?C', 'JsEC?E?_??_']",5.0,-0.01863524727141054,0.8640017518621593,0.11172446241732703,"{""10.0"": {""absolute_differences"": [0.2837013205745712, 0.19955726852158773, 0.1682571236184328], ""fit"": {""intercept"": 0.4428819074087513, ""r2"": 0.36316166299172925, ""slope"": -0.019428624159034583}, ""log_ratios"": [0.4383073722396659, 0.37431648111078336, 0.39945012392159707]}, ""5.0"": {""absolute_differences"": [0.14826465622394902, 0.11910669965166232, 0.11172446241732703], ""fit"": {""intercept"": 0.17872318992267133, ""r2"": 0.8640017518621593, ""slope"": -0.01863524727141054}, ""log_ratios"": [0.16435652710087095, 0.13291552648062993, 0.12708603255804987]}}"
3,"[[0, 1]]","[0, 2]",1,"['Dp_', 'Gpa?K?', 'Jpa?KA??K??']",5.0,-0.018635247271410756,0.8640017518621799,0.11172446241732714,"{""10.0"": {""absolute_differences"": [0.28370132057457365, 0.19955726852158717, 0.1682571236184337], ""fit"": {""intercept"": 0.44288190740875555, ""r2"": 0.3631616629917278, ""slope"": -0.019428624159035866}, ""log_ratios"": [0.4383073722396699, 0.3743164811107829, 0.39945012392159845]}, ""5.0"": {""absolute_differences"": [0.14826465622394946, 0.11910669965166354, 0.11172446241732714], ""fit"": {""intercept"": 0.17872318992267247, ""r2"": 0.8640017518621799, ""slope"": -0.018635247271410756}, ""log_ratios"": [0.1643565271008715, 0.1329155264806313, 0.12708603255805007]}}"
