petal_size,internal_edges,hub_neighbors,leaf_count,signatures,best_time,best_slope,best_r2,k3_difference,screen_records
3,"[[0, 1]]","[1, 2]",2,"['Eoe?', 'Hoe?CE?', 'Koe?CE??C?o?']",10.0,0.03620523396492294,0.8850526579707011,0.1480601240338164,"{""10.0"": {""absolute_differences"": [0.19855985550723398, 0.18037572072732855, 0.1480601240338164], ""fit"": {""intercept"": 0.32125044410627723, ""r2"": 0.8850526579707011, ""slope"": 0.03620523396492294}, ""log_ratios"": [0.3499225449465906, 0.4087271782853422, 0.42233301287643654]}, ""5.0"": {""absolute_differences"": [0.1347494855094412, 0.12143100222964431, 0.10922193721554141], ""fit"": {""intercept"": 0.16395781953833144, ""r2"": 0.99956138769862, ""slope"": -0.012380049538526814}, ""log_ratios"": [0.15172749606911093, 0.13889826832266522, 0.12696739699205736]}}"
3,"[[0, 2]]","[1, 2]",2,"['EoaO', 'HoaOCAA', 'KoaOCAA?C?OA']",10.0,0.03620523396492276,0.8850526579706921,0.1480601240338162,"{""10.0"": {""absolute_differences"": [0.19855985550723387, 0.18037572072732877, 0.1480601240338162], ""fit"": {""intercept"": 0.32125044410627734, ""r2"": 0.8850526579706921, ""slope"": 0.03620523396492276}, ""log_ratios"": [0.34992254494659014, 0.40872717828534255, 0.4223330128764358]}, ""5.0"": {""absolute_differences"": [0.13474948550944155, 0.1214310022296432, 0.10922193721554041], ""fit"": {""intercept"": 0.16395781953833222, ""r2"": 0.9995613876986184, ""slope"": -0.012380049538527494}, ""log_ratios"": [0.15172749606911132, 0.13889826832266405, 0.1269673969920564]}}"
3,"[[1, 2]]","[0, 1]",2,"['Es_G', 'Hs_KC?@', 'Ks_KC?@_C??@']",10.0,0.03620523396492174,0.8850526579707008,0.14806012403381602,"{""10.0"": {""absolute_differences"": [0.19855985550723465, 0.18037572072732816, 0.14806012403381602], ""fit"": {""intercept"": 0.32125044410627923, ""r2"": 0.8850526579707008, ""slope"": 0.03620523396492174}, ""log_ratios"": [0.34992254494659153, 0.40872717828534133, 0.4223330128764351]}, ""5.0"": {""absolute_differences"": [0.13474948550944144, 0.12143100222964454, 0.10922193721554063], ""fit"": {""intercept"": 0.16395781953833238, ""r2"": 0.9995613876986215, ""slope"": -0.012380049538527307}, ""log_ratios"": [0.15172749606911112, 0.1388982683226656, 0.12696739699205659]}}"
3,"[[0, 2]]","[0, 1]",2,"['Es_O', 'Hs_SC?A', 'Ks_SC?A_C??A']",10.0,0.036205233964921715,0.8850526579706802,0.14806012403381597,"{""10.0"": {""absolute_differences"": [0.19855985550723448, 0.1803757207273291, 0.14806012403381597], ""fit"": {""intercept"": 0.32125044410627973, ""r2"": 0.8850526579706802, ""slope"": 0.036205233964921715}, ""log_ratios"": [0.34992254494659136, 0.40872717828534344, 0.42233301287643493]}, ""5.0"": {""absolute_differences"": [0.1347494855094421, 0.12143100222964476, 0.10922193721554063], ""fit"": {""intercept"": 0.1639578195383336, ""r2"": 0.9995613876986215, ""slope"": -0.0123800495385277}, ""log_ratios"": [0.1517274960691119, 0.138898268322666, 0.12696739699205659]}}"
3,"[[1, 2]]","[0, 2]",2,"['EsAG', 'HsAK?A@', 'KsAK?A@_??O@']",10.0,0.03620523396492036,0.8850526579706841,0.1480601240338149,"{""10.0"": {""absolute_differences"": [0.1985598555072341, 0.1803757207273276, 0.1480601240338149], ""fit"": {""intercept"": 0.3212504441062797, ""r2"": 0.8850526579706841, ""slope"": 0.03620523396492036}, ""log_ratios"": [0.3499225449465903, 0.4087271782853397, 0.42233301287643116]}, ""5.0"": {""absolute_differences"": [0.134749485509441, 0.1214310022296452, 0.10922193721553997], ""fit"": {""intercept"": 0.1639578195383327, ""r2"": 0.999561387698624, ""slope"": -0.012380049538527508}, ""log_ratios"": [0.15172749606911073, 0.13889826832266636, 0.1269673969920558]}}"
3,"[[0, 1]]","[0, 2]",2,"['EsE?', 'HsEC?E?', 'KsEC?E?_??o?']",10.0,0.03620523396491985,0.885052657970681,0.14806012403381524,"{""10.0"": {""absolute_differences"": [0.19855985550723498, 0.18037572072732827, 0.14806012403381524], ""fit"": {""intercept"": 0.3212504441062827, ""r2"": 0.885052657970681, ""slope"": 0.03620523396491985}, ""log_ratios"": [0.34992254494659264, 0.4087271782853415, 0.42233301287643243]}, ""5.0"": {""absolute_differences"": [0.13474948550944088, 0.12143100222964442, 0.10922193721554063], ""fit"": {""intercept"": 0.16395781953833163, ""r2"": 0.9995613876986217, ""slope"": -0.012380049538527104}, ""log_ratios"": [0.15172749606911057, 0.1388982683226654, 0.1269673969920564]}}"
3,"[[0, 1], [0, 2]]","[1, 2]",1,"['Ddg', 'GdgCKG', 'JdgCKG?_K@?']",10.0,0.028672119671478993,0.9575760988942515,0.04114403924816179,"{""10.0"": {""absolute_differences"": [0.08884104795970538, 0.05809597536767569, 0.04114403924816179], ""fit"": {""intercept"": 0.1301036044667206, ""r2"": 0.9575760988942515, ""slope"": 0.028672119671478993}, ""log_ratios"": [0.16226004246618933, 0.18047920715369897, 0.2196042818091474]}, ""5.0"": {""absolute_differences"": [0.23444867101457945, 0.1535753262180567, 0.10528081449147542], ""fit"": {""intercept"": 0.41270683527134155, ""r2"": 0.9769838001386122, ""slope"": -0.046507162199108304}, ""log_ratios"": [0.3703209551618214, 0.3114499466939485, 0.27730663076360496]}}"
3,"[[0, 1], [1, 2]]","[0, 2]",1,"['Dpc', 'Gpe?KC', 'Jpe?KE??K?_']",10.0,0.02867211967147894,0.9575760988942463,0.041144039248161596,"{""10.0"": {""absolute_differences"": [0.08884104795970493, 0.05809597536767519, 0.041144039248161596], ""fit"": {""intercept"": 0.13010360446671954, ""r2"": 0.9575760988942463, ""slope"": 0.02867211967147894}, ""log_ratios"": [0.1622600424661884, 0.1804792071536973, 0.21960428180914635]}, ""5.0"": {""absolute_differences"": [0.23444867101457922, 0.15357532621805775, 0.10528081449147492], ""fit"": {""intercept"": 0.412706835271342, ""r2"": 0.9769838001386224, ""slope"": -0.04650716219910847}, ""log_ratios"": [0.3703209551618208, 0.31144994669395043, 0.27730663076360396]}}"
3,"[[0, 2], [1, 2]]","[0, 1]",1,"['DsK', 'GsMC?K', 'JsMC?M?_?@_']",10.0,0.028672119671478077,0.9575760988942316,0.04114403924816171,"{""10.0"": {""absolute_differences"": [0.08884104795970638, 0.058095975367675134, 0.04114403924816171], ""fit"": {""intercept"": 0.13010360446672245, ""r2"": 0.9575760988942316, ""slope"": 0.028672119671478077}, ""log_ratios"": [0.16226004246619102, 0.1804792071536975, 0.21960428180914723]}, ""5.0"": {""absolute_differences"": [0.23444867101457867, 0.15357532621805642, 0.1052808144914747], ""fit"": {""intercept"": 0.4127068352713406, ""r2"": 0.9769838001386166, ""slope"": -0.046507162199108346}, ""log_ratios"": [0.3703209551618199, 0.31144994669394815, 0.27730663076360346]}}"
3,"[[0, 2], [1, 2]]","[1, 2]",2,"['EoaW', 'HoaWCAB', 'KoaWCAB?C?OB']",10.0,0.006869066283370762,0.046762810437356306,0.06525292376440897,"{""10.0"": {""absolute_differences"": [0.1811362296150939, 0.11852191999189124, 0.06525292376440897], ""fit"": {""intercept"": 0.46207039119863064, ""r2"": 0.046762810437356306, ""slope"": 0.006869066283370762}, ""log_ratios"": [0.45103392394281294, 0.5116195908437489, 0.46477205650955455]}, ""5.0"": {""absolute_differences"": [0.10330620288189063, 0.06844218653251999, 0.046684294146266514], ""fit"": {""intercept"": 0.16595032056267098, ""r2"": 0.988286931336916, ""slope"": -0.01691936610588483}, ""log_ratios"": [0.15009440495459986, 0.12998468735527385, 0.11625567274283023]}}"
