k,original_ramp_up_path_length,reduced_ramp_up_path_length,absolute_ramp_up_path_length_difference,original_ramp_up_transition_action,reduced_ramp_up_transition_action,absolute_ramp_up_transition_action_difference,original_sweep_path_length,reduced_sweep_path_length,absolute_sweep_path_length_difference,original_sweep_transition_action,reduced_sweep_transition_action,absolute_sweep_transition_action_difference,original_ramp_down_path_length,reduced_ramp_down_path_length,absolute_ramp_down_path_length_difference,original_ramp_down_transition_action,reduced_ramp_down_transition_action,absolute_ramp_down_transition_action_difference
1,0.2515886137657298,0.18684359848945628,0.0647450152762735,0.11596335966864109,0.08789972242915488,0.02806363723948621,1.4443641217721515,0.9303695073397362,0.5139946144324152,1.1774395642585114,0.5668672213986795,0.6105723428598319,0.2343442692988782,0.18684359848945623,0.04750067080942197,0.11184072058114194,0.08789972242915492,0.023940998151987025
2,0.3054455905575691,0.26423675102638194,0.04120883953118715,0.14063259123838234,0.12430897958814108,0.016323611650241265,1.7165151536222911,1.3157411752982302,0.4007739783240609,1.2543087809520364,0.8016713125667647,0.45263746838527164,0.2992107775314837,0.2642367510263828,0.0349740265051009,0.14168352691705258,0.12430897958814205,0.017374547328910528
3,0.3528989639613529,0.32362260565273737,0.029276358308615524,0.16292092992580012,0.15224678521849735,0.010674144707302768,1.9553029754837299,1.6114472565252518,0.3438557189584781,1.364126993822762,0.9818428286079117,0.3822841652148503,0.35274272665274914,0.32362260565273765,0.02912012100001149,0.16672391751936172,0.15224678521849794,0.014477132300863782
4,0.3958720837442835,0.37368719697891173,0.02218488676537178,0.18334526586586852,0.17579944485830887,0.0075458210075596555,2.1676125946481752,1.860739014679476,0.30687357996869924,1.4719176433476457,1.133734442797362,0.33818320055028384,0.3991720290828771,0.3736871969789125,0.025484832103964572,0.1884768905299056,0.17579944485830998,0.012677445671595622
