k,original_ramp_up_path_length,reduced_ramp_up_path_length,absolute_ramp_up_path_length_difference,original_ramp_up_transition_action,reduced_ramp_up_transition_action,absolute_ramp_up_transition_action_difference,original_sweep_path_length,reduced_sweep_path_length,absolute_sweep_path_length_difference,original_sweep_transition_action,reduced_sweep_transition_action,absolute_sweep_transition_action_difference,original_ramp_down_path_length,reduced_ramp_down_path_length,absolute_ramp_down_path_length_difference,original_ramp_down_transition_action,reduced_ramp_down_transition_action,absolute_ramp_down_transition_action_difference
1,0.28775047709911866,0.233665874793826,0.05408460230529266,0.13404668746666043,0.11108870200674856,0.022957985459911873,1.8087326170998428,1.4340909131100095,0.3746417039898333,1.5144685347540479,1.0559976372533515,0.45847089750069636,0.27272234981739063,0.23366587479382878,0.039056475023561854,0.1304677789514014,0.11108870200675053,0.01937907694465088
2,0.33945037783529636,0.299189531576612,0.04026084625868437,0.15806214650876504,0.14166601194387313,0.016396134564891918,2.035295586039283,1.7108430936629044,0.3244524923763785,1.5847631906406823,1.2009569416907566,0.38380624894992565,0.33052933633592263,0.2991895315766132,0.03133980475930942,0.1572197710827804,0.14166601194387396,0.015553759138906442
3,0.3846735199437666,0.35274171147605243,0.03193180846771415,0.17920359680784723,0.16672313402588618,0.01248046278196105,2.239237938595612,1.9481118684178755,0.2911260701777365,1.6639808066551234,1.3293684419767504,0.33461236467837296,0.3796586176887772,0.3527417114760525,0.02691690621272469,0.1800771854924082,0.16672313402588634,0.013354051466521855
