method,replicate,evaluation,params,score,approximation_ratio_unconditional,optimal_probability,feasible_probability,expected_feasible_size_unconditional,expected_size_given_feasible
differential_evolution,0,1,"[1.288093606893548, 1.7984770858719907, 0.371941250096178, 3.179863887541445, 6.1616930849693246]",0.0005648279691797094,0.00047419100658462754,3.5631259966350765e-05,0.0008172914760349418,0.0018967640263385102,2.3207926204499136
differential_evolution,0,2,"[2.5240748622938742, 1.9424349102973277, 1.79720976090271, 6.016575837822245, 2.8707679495175493]",0.002603525337538614,0.00215336565709809,0.0004918084100316072,0.003272075779326221,0.00861346262839236,2.6324153868361893
differential_evolution,0,3,"[3.8365978864998365, 0.8838332660458471, 1.5887747060462054, 3.0955683588681633, 2.0080585623013634]",0.016106978023895345,0.012522680034222777,0.00014026867297501012,0.03549230821428815,0.05009072013689111,1.411311990036367
differential_evolution,0,4,"[2.251284415175423, 2.4423087653344115, 2.3815963424376108, 1.0053516005433096, 4.498376056219632]",0.0020623416931612017,0.0016762964265268627,0.0002897869797880543,0.0031359852168732515,0.006705185706107451,2.138143276323505
differential_evolution,0,5,"[2.318561454689714, 1.1914696975869703, 1.120575499359565, 4.408270643679904, 2.579974276667567]",0.004782128947518949,0.00390752314721999,0.0004566760939801551,0.0076043677680392,0.01563009258887996,2.0554098730695936
differential_evolution,0,6,"[1.6255754345043099, 2.828045403302419, 0.912941474393371, 4.462797940818921, 5.579602290478344]",0.00175487028845514,0.0014538653864975193,0.00027379615197880316,0.002325558639629198,0.005815461545990077,2.500672933758975
differential_evolution,0,7,"[2.666359461291686, 0.610184001549101, 0.317938269082042, 2.9882395734306373, 4.989338070219963]",0.003364113705502182,0.0026281188248754037,7.591739158521846e-05,0.007170155327304733,0.010512475299501615,1.4661433148413066
differential_evolution,0,8,"[1.4875418790829762, 0.34157920601249436, 1.031188170275434, 2.002790101745404, 4.738575440439659]",0.0017284678212073972,0.001419684922215926,0.00030396323994511345,0.0023279208900519282,0.005678739688863704,2.43940406786634
differential_evolution,0,9,"[2.406518558466716, 1.2685442767347954, 2.988231360106753, 2.7172128382586926, 1.4095127974551787]",0.019859917880478382,0.015606964973235384,0.00031061441367367145,0.04175299303824579,0.062427859892941535,1.4951708931562713
differential_evolution,0,10,"[3.30464225616561, 1.7965980193700983, 1.9819546702413708, 2.8278856290250913, 3.078773014050663]",0.001283684425641471,0.0010717398039034813,0.00011631556719697289,0.0018286572993874656,0.004286959215613925,2.3443207303248683
differential_evolution,0,11,"[2.82462046984388, 2.164905569244147, 1.8204564285503553, 5.2392059893901335, 1.2319527535325265]",0.003195659125775646,0.00266232489616113,0.0005373605778821134,0.003989940851439878,0.01064929958464452,2.6690369559742804
differential_evolution,0,12,"[2.323794327239025, 0.45293075561822693, 0.254439233160397, 3.7329665302489405, 1.436607514287777]",0.0063373322664035565,0.005212232283527072,0.0011253309339111913,0.008437672493986864,0.02084892913410829,2.4709336785667313
differential_evolution,0,13,"[1.9165325334800705, 0.8964111421912669, 1.1677175628623246, 5.176413623019233, 2.4719910877688562]",0.001927328467386018,0.0016038250088180168,0.00033760250395077347,0.0023910283258030776,0.006415300035272067,2.683071532880043
