config,setting,depth,ordering,shots,bks_hits,bks_rate,near_rate,feasible_rate,median_seconds,rzz_gates
prior_matched_random_p15__sorted,confirm,15,sorted,15000,197,0.013133333333333334,0.18153333333333332,0.6864,370.2333517000079,1365
prior_matched_random_p15__sorted,released,15,sorted,15000,108,0.0072,0.15793333333333334,0.9008666666666667,12.00921719998587,1365
published_lr_p15__sorted,confirm,15,sorted,15000,260,0.017333333333333333,0.1854,0.49366666666666664,236.9598207999952,1365
published_lr_p15__sorted,released,15,sorted,15000,49,0.003266666666666667,0.11506666666666666,0.5093333333333333,7.909286700014491,1365
