case,qubits,setting,method,schedule,ordering,actual_bks_error,true_tvd,epsilon_rigorous,accumulated_angle,p_bks_mps,number_of_truncations,sum_w,sqrt_sum_w,product_trace,rss_angle,sum_w_raw
chesapeake,7,cutoff1e-4,published_lr,LR,spectral,0.00025347017689902884,0.003535640522257756,0.6693108115171038,0.7332808022772571,0.7985466006487338,160,0.004538129802,0.06736564259323888,0.06729021786285859,0.0673153235599356,0.004538129802
chesapeake,7,cutoff1e-4,prior_matched_random,MR,sorted,0.001429287825216674,0.004997968625784659,0.47564413454702786,0.49569615933823463,0.6626502511927926,87,0.0033853719405757504,0.058183949166206915,0.05813559342713527,0.05815169489849883,0.0033853719405757504
chesapeake,7,cutoff1e-4,prior_matched_random,MR,spectral,0.0016321135477367354,0.005541124563605981,0.44805143232277667,0.46458455865147696,0.6624474254702714,80,0.0030472072650000004,0.05520151506073,0.055160248167383234,0.055173990662148835,0.0030472072650000004
chesapeake,7,cutoff1e-5,published_lr,LR,sorted,0.0002069298297098232,0.000612531408263289,0.18703769059345718,0.18814575060852265,0.7980862006421245,115,0.0003729095503422866,0.019310866120976725,0.01930909126194047,0.01930968281234235,0.0003729095503422866
chesapeake,7,cutoff1e-5,published_lr,LR,spectral,0.00028715866495843123,0.0008419344398854153,0.17288410481556873,0.1737571182784373,0.7980059718068764,106,0.00033037394768500004,0.018176191781696188,0.01817471229949111,0.018175205409048788,0.00033037394768500004
chesapeake,7,cutoff1e-5,prior_matched_random,MR,sorted,0.0002542848138832321,0.001699486716333093,0.09670236552937628,0.0968537195495986,0.6638252542041261,52,0.00021362140235075004,0.014615792908725481,0.014615034912636216,0.014615287561179491,0.00021362140235075004
chesapeake,7,cutoff1e-5,prior_matched_random,MR,spectral,0.00042061481461797,0.0019545838610036375,0.07889419428927465,0.07897626782208253,0.6636589242033901,42,0.00016860014650000004,0.01298461191179775,0.012984083171089088,0.012984259408763422,0.00016860014650000004
chesapeake,7,released,published_lr,LR,sorted,0.030986780186041285,0.03347133707769006,1.0,1.5707963267948966,0.8292799106578757,455,0.11937059530400002,0.3455004997159917,0.33548403149028194,0.3386966678276015,0.11937059530400002
chesapeake,7,released,published_lr,LR,spectral,0.030267732634779443,0.03455214301658921,1.0,1.5707963267948966,0.8285608631066143,354,0.11028923769000001,0.33209823499982655,0.3231891630508061,0.32605519342767847,0.11028923769000001
chesapeake,7,released,prior_matched_random,MR,sorted,0.056531792283820215,0.06780305140321041,1.0,1.5707963267948966,0.7206113313018295,375,0.09970970285915076,0.3157684323347582,0.30809978719989123,0.31057538740898644,0.09970970285915076
chesapeake,7,released,prior_matched_random,MR,spectral,0.042681617759843915,0.060392334497697604,1.0,1.5707963267948966,0.706761156777852,281,0.08579001917500001,0.2928993328346789,0.28676605689261275,0.2887550458175634,0.08579001917500001
football,7,bond128,published_lr,LR,sorted,1.0947274198258583e-09,9.191171335935359e-09,2.5523861384986405e-07,2.552386138498668e-07,0.8627678106768288,1,6.514675000000002e-14,2.5523861384986405e-07,2.5528433470445596e-07,2.5523861384986405e-07,6.514675000000002e-14
football,7,bond128,published_lr,LR,spectral,4.938867093073895e-10,2.2397708706965874e-08,6.724382294631619e-07,6.724382294632127e-07,0.8627678112776701,2,2.3920265000000005e-13,4.890834795819627e-07,4.891350138834075e-07,4.890834795819549e-07,2.3920265000000005e-13
football,7,bond128,prior_matched_random,MR,sorted,4.858569102594856e-11,1.2929715255431913e-10,0.0,0.0,0.8820366866994563,0,0.0,0.0,0.0,0.0,0.0
football,7,bond128,prior_matched_random,MR,spectral,5.309808148723505e-11,2.1590992188442247e-10,0.0,0.0,0.8820366867039678,0,0.0,0.0,0.0,0.0,0.0
football,7,confirm,published_lr,LR,sorted,0.0006899655162426743,0.007860552783679347,0.7402674269820715,0.8334680431084718,0.8634577772877989,163,0.005607336471454378,0.07488215055308159,0.07477841322463541,0.07481293130252516,0.005607336471454378
football,7,confirm,published_lr,LR,spectral,0.0003850666040405848,0.007546582451731409,0.6695349528786678,0.7335825211218973,0.8631528783755974,165,0.0044545187489,0.0667421811817684,0.06666878231917582,0.0666932143215317,0.0044545187489
football,7,confirm,prior_matched_random,MR,sorted,0.0006135044422113101,0.005328806366010425,0.4454132442151122,0.46163576559363106,0.882650191093082,76,0.0032371577015310503,0.056896025357937356,0.056850850578388915,0.0568658935632651,0.0032371577015310503
