weight_model,instances,degree_mean,degree_max,degree_exact_fraction,clique_mean,clique_max,clique_exact_fraction,odd5_mean,odd5_max,odd5_exact_fraction,odd7_mean,odd7_max,odd7_exact_fraction,odd9_mean,odd9_max,odd9_exact_fraction
integer,180,1.0076998499920848,1.1363636363636365,0.7055555555555556,1.0015557594320526,1.0666666666666667,0.9055555555555556,1.0007835200289268,1.0166666666666666,0.9277777777777778,1.0005802179390346,1.0166666666666666,0.9333333333333333,1.000569735758741,1.0166666666666666,0.9333333333333333
lognormal,180,1.001174227392447,1.0473608668259935,0.8666666666666667,1.0001626373108357,1.0131858365799278,0.9722222222222222,1.0000751227710551,1.0118546589040756,0.9888888888888889,1.0000092635549218,1.0016674398858616,0.9944444444444445,1.0000092635549214,1.0016674398858616,0.9944444444444445
pareto,180,1.0059465323138201,1.1877189601437699,0.6833333333333333,1.000816977792975,1.032698227328175,0.9222222222222223,1.0005250840906585,1.032698227328175,0.95,1.000441775831258,1.0303052825974728,0.9555555555555556,1.000415854665,1.0303052825974726,0.9555555555555556
uniform,180,1.0145906331322998,1.5,0.8333333333333334,1.0076298624215292,1.1666666666666667,0.8666666666666667,1.0072396507813175,1.1666666666666667,0.8722222222222222,1.0072396507813193,1.1666666666666667,0.8722222222222222,1.0071702063368722,1.1666666666666667,0.8722222222222222
