baseline,count,mean,median,p95,max,exact_fraction
degree,720,1.007352810707663,1.0,1.0455498615231178,1.5,0.7722222222222223
clique,720,1.002541309239348,1.0,1.013284120508507,1.1666666666666667,0.9166666666666666
odd5,720,1.0021558444179897,1.0,1.0086414624013293,1.1666666666666667,0.9347222222222222
odd7,720,1.0020677270266336,1.0,1.0056969048989994,1.1666666666666667,0.9388888888888889
odd9,720,1.0020412650788837,1.0,1.005696904899002,1.1666666666666667,0.9388888888888889
