root_order,expected_degree,weight_model,instances,mean_realized_degree,mean_cycles_through9,degree_mean,degree_max,degree_strict_fraction,clique_mean,clique_max,clique_strict_fraction,odd9_mean,odd9_max,odd9_strict_fraction
20,2,integer,3,1.9333333333333333,3.3333333333333335,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,2,uniform,3,1.9333333333333333,3.3333333333333335,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,3,integer,3,2.9666666666666663,86.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,3,uniform,3,2.9666666666666663,86.0,1.0185185185185184,1.0555555555555556,0.3333333333333333,1.0185185185185184,1.0555555555555556,0.3333333333333333,1.0,1.0,0.0
20,4,integer,3,3.533333333333333,478.6666666666667,1.0027777777777778,1.0083333333333333,0.3333333333333333,1.0027777777777778,1.0083333333333333,0.3333333333333333,0.9999999999999941,1.0,0.0
20,4,uniform,3,3.533333333333333,478.6666666666667,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999992,1.0000000000000002,0.0
20,5,integer,3,5.266666666666667,34341.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0000000000000624,1.0000000000001874,0.0
20,5,uniform,3,5.266666666666667,34341.0,1.0,1.0,0.0,1.0,1.0,0.0,1.00000000000007,1.0000000000001434,0.0
20,6,integer,3,5.866666666666667,66394.33333333333,1.0,1.0,0.0,1.0,1.0,0.0,1.0000000000001001,1.0000000000002078,0.0
20,6,uniform,3,5.866666666666667,66394.33333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999998185,0.9999999999999716,0.0
30,2,integer,3,2.022222222222222,18.333333333333332,1.0023148148148149,1.0069444444444444,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
30,2,uniform,3,2.022222222222222,18.333333333333332,1.0267094017094018,1.0416666666666667,0.6666666666666666,1.0267094017094018,1.0416666666666667,0.6666666666666666,1.0092592592592593,1.027777777777778,0.3333333333333333
30,3,integer,3,3.3111111111111113,490.6666666666667,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
30,3,uniform,3,3.3111111111111113,490.6666666666667,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999964,1.0,0.0
30,4,integer,3,4.0,3895.6666666666665,1.0018939393939394,1.0056818181818181,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
30,4,uniform,3,4.0,3895.6666666666665,1.0119047619047619,1.0357142857142858,0.3333333333333333,1.0119047619047619,1.0357142857142858,0.3333333333333333,1.0119047619047619,1.0357142857142858,0.3333333333333333
30,5,integer,3,5.133333333333334,31684.333333333332,1.0,1.0,0.0,1.0,1.0,0.0,1.0000000000002547,1.000000000000764,0.0
30,5,uniform,3,5.133333333333334,31684.333333333332,1.0,1.0,0.0,1.0,1.0,0.0,1.0000000000000009,1.0000000000000024,0.0
30,6,integer,3,5.733333333333333,164680.0,1.0080283793876026,1.0192307692307692,0.6666666666666666,1.0080283793876026,1.0192307692307692,0.6666666666666666,1.004823251182535,1.0096153846155658,0.6666666666666666
30,6,uniform,3,5.733333333333333,164680.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0000000000000064,1.0000000000000162,0.0
40,2,integer,3,2.066666666666667,14.666666666666666,1.0089605734767024,1.0268817204301075,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
40,2,uniform,3,2.066666666666667,14.666666666666666,1.0098039215686274,1.0294117647058822,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
40,3,integer,3,2.7999999999999994,205.33333333333334,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
40,3,uniform,3,2.7999999999999994,205.33333333333334,1.0092592592592593,1.0277777777777777,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
40,4,integer,3,3.9499999999999997,4965.333333333333,1.0022988505747126,1.006896551724138,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0
40,4,uniform,3,3.9499999999999997,4965.333333333333,1.0087719298245614,1.0263157894736843,0.3333333333333333,1.0087719298245614,1.0263157894736843,0.3333333333333333,1.0087719298245614,1.0263157894736843,0.3333333333333333
40,5,integer,3,5.033333333333334,53195.333333333336,1.001207729468599,1.0036231884057971,0.3333333333333333,1.001207729468599,1.0036231884057971,0.3333333333333333,0.999999999999997,1.0,0.0
40,5,uniform,3,5.033333333333334,53195.333333333336,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999952,1.0000000000000004,0.0
40,6,integer,3,6.216666666666666,291204.6666666667,1.0,1.0,0.0,1.0,1.0,0.0,0.9999999999999988,1.0000000000000164,0.0
40,6,uniform,3,6.216666666666666,291204.6666666667,1.0,1.0,0.0,1.0,1.0,0.0,0.999999999999995,1.0,0.0
