baseline,count,mean,median,p95,max,exact_fraction
degree_only,6225,1.035055028251038,1.0,1.1666666666666667,1.5,0.6689156626506024
h_relaxation,6225,1.0167527339939941,1.0,1.1666666666666667,1.2500000000000002,0.8469076305220884
full_matching,6225,1.0,1.0,1.0,1.0,1.0
