root_order,instances,degree_mean,degree_max,degree_exact_fraction,clique_mean,clique_max,clique_exact_fraction,odd5_mean,odd5_max,odd5_exact_fraction,odd7_mean,odd7_max,odd7_exact_fraction,odd9_mean,odd9_max,odd9_exact_fraction
10,120,1.0123167464221214,1.5,0.8333333333333334,1.0017234848484848,1.125,0.975,1.0011805555555555,1.125,0.9833333333333333,1.0011805555555555,1.125,0.9833333333333333,1.0011805555555557,1.125,0.9833333333333333
14,120,1.0047646383613915,1.1,0.85,1.0013481221456222,1.0833333333333333,0.9583333333333334,1.0011456121759852,1.0833333333333333,0.9583333333333334,1.0010261290715603,1.0833333333333333,0.9583333333333334,1.000998715027006,1.0833333333333333,0.9583333333333334
18,120,1.0064500964013519,1.1428571428571428,0.8,1.002633142420214,1.0714285714285714,0.9333333333333333,1.0025227230928404,1.0714285714285714,0.9333333333333333,1.002352095188183,1.0714285714285714,0.95,1.002232205251073,1.0714285714285714,0.95
22,120,1.0068665681929614,1.1666666666666667,0.725,1.0040857923182702,1.1666666666666667,0.8916666666666667,1.0037269317901705,1.1666666666666667,0.9083333333333333,1.003658625779242,1.1666666666666667,0.9083333333333333,1.0036471580744082,1.1666666666666667,0.9083333333333333
26,120,1.0065645027271295,1.1363636363636365,0.7083333333333334,1.0027605424514854,1.0454545454545454,0.85,1.0022413430027537,1.0454545454545454,0.925,1.002180548662763,1.0454545454545454,0.9333333333333333,1.0021805486627613,1.0454545454545454,0.9333333333333333
30,120,1.007154312141022,1.1153846153846154,0.7166666666666667,1.0026967712520118,1.0416666666666667,0.8916666666666667,1.0021179008906316,1.0384615384615385,0.9,1.0020084079024971,1.0384615384615385,0.9,1.0020084079024976,1.0384615384615385,0.9
