suite,normalized_mean,unnormalized_mean,difference,ci_low,ci_high,paired_t_p,wins,losses
Frozen 17-qubit,0.2508963235258128,0.16764045198651967,0.08325587153929315,0.046492582628043636,0.12474875671992282,0.002181335947510905,11,1
Scale-up 20--24,0.20246513102025734,0.14257198764380205,0.059893143376455314,0.02539585917756932,0.09865421967495568,0.010152742132626003,10,2
Confirmatory 20--24,0.20230024340446448,0.133221724640372,0.06907851876409245,0.034425744605453286,0.1055174004637977,0.003742567195342242,10,2
Random subsets 20--24,0.24549533286804293,0.13742483661874183,0.10807049624930108,0.05786753015395054,0.1602672588444083,0.0023135433058038674,10,2
