suite,normalized_de,unnormalized_de,normalized_random
Frozen 17,0.2508963235258128,0.16764045198651967,0.23282740522586423
Scale 20--24,0.20246513102025734,0.14257198764380205,0.17625945122491413
Confirmatory,0.20230024340446448,0.133221724640372,0.16298216554932574
Random subsets,0.24549533286804293,0.13742483661874183,0.20469679193923077
