case,method,bond,threshold,state_fidelity,total_variation,jensen_shannon,exact_bks_rate,mps_bks_rate,bks_error,feasible_error
es60fst01,published_lr,128,0.001,0.980258560304038,0.05175161749267587,0.005354256590308037,0.6860999427699104,0.7018692574773195,0.015769314707409166,0.018368682011740578
es60fst01,published_lr,128,0.0003,0.9916308740210068,0.03670266208730579,0.0022008488061897643,0.6860999427699104,0.6952531550205533,0.009153212250642917,0.009050671720085668
es60fst01,published_lr,128,0.0001,0.9956142923841711,0.02560539218195826,0.0011451905021907997,0.6860999427699104,0.6847863764211213,-0.001313566348789097,-0.0003994416306266624
es60fst01,published_lr,128,1e-05,0.9989793532437892,0.008277396745303093,0.0002612813436385937,0.6860999427699104,0.6855405305732862,-0.0005594121966241428,-0.0004564659762403833
es60fst01,published_lr,128,1e-06,0.999866229951508,0.002659286423603184,3.302384409300911e-05,0.6860999427699104,0.686252448836352,0.00015250606644157116,0.00016605189619867122
es60fst01,matched_random_search,128,0.001,0.952412633603785,0.07424450823749051,0.015347144815734326,0.9289841944497306,0.9631570556554805,0.034172861205749916,0.03244231253611063
es60fst01,matched_random_search,128,0.0003,0.9749232662695325,0.05260063397595209,0.008093103388384324,0.9289841944497306,0.9514440864943622,0.022459892044631613,0.020602150981477663
es60fst01,matched_random_search,128,0.0001,0.9862711048039516,0.032492867629556714,0.004118804986383403,0.9289841944497306,0.941936742148558,0.012952547698827477,0.011509483848937574
es60fst01,matched_random_search,128,1e-05,0.998091154305674,0.00875488237831781,0.000497042372093961,0.9289841944497306,0.9312636417433613,0.002279447293630721,0.0021911293461280845
es60fst01,matched_random_search,128,1e-06,0.9998358700684061,0.0014477845779173317,4.040075339713905e-05,0.9289841944497306,0.9292037858075145,0.00021959135778393257,0.00017683908207410948
es60fst03,published_lr,128,0.001,0.987431396737979,0.050922080024733765,0.0036056732481706292,0.7358264320618438,0.7432703075049288,0.007443875443085002,0.008819426925936402
es60fst03,published_lr,128,0.0003,0.9945726472085699,0.021938222352433402,0.001190461292645886,0.7358264320618438,0.7390606053890411,0.0032341733271972206,0.0028152316559968416
es60fst03,published_lr,128,0.0001,0.9977012461913193,0.016650150327464672,0.0005816271015699415,0.7358264320618438,0.73305631262078,-0.0027701194410638674,-0.0018133408458176348
es60fst03,published_lr,128,1e-05,0.9995350790291642,0.004628051123725194,0.00011679749969839841,0.7358264320618438,0.7355889337097355,-0.00023749835210828962,-0.0003474726606758072
es60fst03,published_lr,128,1e-06,0.999952951385109,0.001805116067096935,1.1165334495953218e-05,0.7358264320618438,0.7360299792650098,0.00020354720316595465,0.0001581433872290816
es60fst03,matched_random_search,128,0.001,0.9763978025341651,0.07015357030757341,0.008160845115463713,0.9553002289547277,0.973787597509323,0.018487368554595318,0.016456303263922778
es60fst03,matched_random_search,128,0.0003,0.9862296914420813,0.050596171475557235,0.004498990079968216,0.9553002289547277,0.9660845196053064,0.010784290650578732,0.010128592295282624
es60fst03,matched_random_search,128,0.0001,0.9940287627499284,0.024674990411433652,0.0017428741130125114,0.9553002289547277,0.9608267114558133,0.005526482501085672,0.00503247690657449
es60fst03,matched_random_search,128,1e-05,0.9993396312809796,0.005521993668633665,0.00015401247896803806,0.9553002289547277,0.9560008310198851,0.0007006020651574296,0.0008694926979156969
es60fst03,matched_random_search,128,1e-06,0.9999689258606261,0.0010529567317348557,6.896586067807072e-06,0.9553002289547277,0.9554332014543562,0.0001329724996285142,0.00016387666712047722
