method,replicates,shots,bks_hits,bks_rate,bks_wilson_low,bks_wilson_high,near_bks_rate,feasible_rate,quality_mass,shots_to_95pct_bks
published_lr,15,15000,41,0.0027333333333333333,0.002015584035138357,0.003705724033056658,0.11213333333333333,0.5012666666666666,0.48961742424242544,1095
evolutionary_search,15,15000,31,0.0020666666666666667,0.001456382982177266,0.0029319331408081974,0.06813333333333334,0.8998666666666667,0.8720204545454631,1449
matched_random_search,15,15000,101,0.006733333333333333,0.005544961658339511,0.008174298081112818,0.157,0.9018,0.878653787878795,444
