reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
7,atlas,CN,A_,4,0,3,1.0,10.0,120,0.5565140787866725,0.9503578251266923,0.39384374634001984
651,unit_disk,GUc`HK,EqTW,8,1,3,1.0,10.0,120,0.5247487838727448,0.9111265344784896,0.38637775060574475
105,atlas,El{G,Cl,6,5,4,1.0,10.0,120,0.5798421777439502,0.9659932005120554,0.3861510227681052
99,atlas,Ev`_,C],6,4,0,1.0,10.0,120,0.6045594886458023,0.9659932005120554,0.36143371186625306
56,atlas,EG}?,CK,6,3,4,1.0,10.0,120,0.5638297681888079,0.9031799957795289,0.339350227590721
452,atlas,Fl{GO,Dl?,7,5,4,1.0,10.0,120,0.4757621910875969,0.8125982347516137,0.33683604366401687
453,atlas,Fl{GO,Dl?,7,6,4,1.0,10.0,120,0.4757621910875969,0.8125982347516137,0.33683604366401687
82,atlas,Eht?,CL,6,5,1,1.0,10.0,120,0.5285670632092199,0.8585371953604194,0.3299701321511995
629,atlas,F~~x?,D~{,7,6,2,1.0,10.0,120,0.5713742684179918,0.9007462754746662,0.32937200705667447
70,atlas,Ehd?,CL,6,5,1,1.0,10.0,120,0.539021227879215,0.8585371953604194,0.31951596748120437
674,unit_disk,HLnzLy?,Fj~Jo,9,8,0,1.0,10.0,120,0.6022326903230784,0.9206002000311397,0.3183675097080614
60,atlas,EYWO,Cq,6,0,2,1.0,10.0,120,0.5453291188354698,0.8585371953604192,0.3132080765249494
328,atlas,F_sPg,DfG,7,2,6,1.0,10.0,120,0.46912213300362265,0.7804965830877035,0.3113744500840809
522,atlas,FtTgO,DtW,7,6,4,1.0,10.0,120,0.47547838002628473,0.7845681192910859,0.3090897392648012
88,atlas,Exd?,Cl,6,5,1,1.0,10.0,120,0.660892482763402,0.9659932005120554,0.30510071774865344
365,atlas,Fv`c?,DWo,7,6,0,1.0,10.0,120,0.5077909454417883,0.8125982347516137,0.3048072893098255
364,atlas,Fv`c?,D]?,7,4,0,1.0,10.0,120,0.5077909454417883,0.8125982347516134,0.30480728930982515
424,atlas,FhNGO,Dho,7,6,4,1.0,10.0,120,0.48174289339244847,0.7804965830877035,0.29875368969525506
513,atlas,Flf__,Dkw,7,6,3,1.0,10.0,120,0.5021120990409,0.79916467043405,0.29705257139315
569,atlas,FyUy?,D`{,7,6,1,1.0,10.0,120,0.43610498602645414,0.732765349225014,0.2966603631985599
438,atlas,Fhf_O,Dhw,7,6,4,1.0,10.0,120,0.5059910737344048,0.7991646704340494,0.2931735966996446
298,atlas,Fpa_g,DIK,7,4,0,1.0,10.0,120,0.5199634160314378,0.8125982347516143,0.2926348187201765
297,atlas,Fpa_g,DcS,7,1,0,1.0,10.0,120,0.5199634160314378,0.8125982347516129,0.29263481872017505
76,atlas,E^_O,C[,6,5,3,1.0,10.0,120,0.5712307223662321,0.8585371953604184,0.2873064729941863
13,atlas,DBc,BO,5,1,3,1.0,10.0,120,0.5157443594477858,0.799445680022359,0.2837013205745732
14,atlas,DBc,BO,5,2,3,1.0,10.0,120,0.5157443594477858,0.799445680022359,0.2837013205745732
429,atlas,Fhfc?,Dho,7,6,0,1.0,10.0,120,0.499558637458471,0.7804965830877035,0.2809379456292325
439,atlas,FhNK?,Djc,7,6,0,1.0,10.0,120,0.50395996790597,0.7845681192910862,0.2806081513851162
514,atlas,Flf`?,Dto,7,6,2,1.0,10.0,120,0.452434862297207,0.7327653492250138,0.2803304869278068
