rank,graph6,leaf,coverage,epsilon_from_endpoint,omega,original_gap,reduced_gap,gap_distortion,original_asymptotic_power,reduced_asymptotic_power
0,F^NI?,6,0.75,0.08,0.7999999999999996,0.010489592114524271,0.07336471391957033,6.994048302220149,3.994518050315816,1.9970514996772655
0,F^NI?,6,0.75,0.04,0.40000000000000036,0.0007583458228150874,0.019457301400532145,25.65755729794077,3.994518050315816,1.9970514996772655
0,F^NI?,6,0.75,0.02,0.20000000000000018,4.932213608910274e-05,0.004963449441904189,100.63330251831522,3.994518050315816,1.9970514996772655
0,F^NI?,6,0.75,0.01,0.10000000000000009,3.1142959509011803e-06,0.0012476713103044546,400.62708553546986,3.994518050315816,1.9970514996772655
0,F^NI?,6,0.75,0.005,0.050000000000000044,1.9514479898674608e-07,0.00031235375183769065,1600.6255532278121,3.994518050315816,1.9970514996772655
0,F^NI?,6,0.75,0.002,0.020000000000000018,4.999308522712909e-09,4.999625096857585e-05,10000.633235862997,3.994518050315816,1.9970514996772655
1,FlMi?,6,0.75,0.08,0.7999999999999996,0.010580097568547053,0.07336471391957211,6.9342190319372605,3.9947663278106447,1.9970514996847482
1,FlMi?,6,0.75,0.04,0.40000000000000036,0.0007601689010288126,0.019457301400532145,25.59602395493769,3.9947663278106447,1.9970514996847482
1,FlMi?,6,0.75,0.02,0.20000000000000018,4.935265735106498e-05,0.004963449441904189,100.57106766505416,3.9947663278106447,1.9970514996847482
1,FlMi?,6,0.75,0.01,0.10000000000000009,3.1147813448484385e-06,0.0012476713103053427,400.5646535571032,3.9947663278106447,1.9970514996847482
1,FlMi?,6,0.75,0.005,0.050000000000000044,1.9515242222212237e-07,0.00031235375183769065,1600.563028022116,3.9947663278106447,1.9970514996847482
1,FlMi?,6,0.75,0.002,0.020000000000000018,4.999342273492857e-09,4.999625096768767e-05,10000.565720969755,3.9947663278106447,1.9970514996847482
2,F^MI?,6,0.75,0.08,0.7999999999999996,0.010667568391681925,0.07336471391957033,6.87736054045613,3.9950145447220375,1.9970514996772655
2,F^MI?,6,0.75,0.04,0.40000000000000036,0.0007619862164816027,0.019457301400532145,25.534978165844446,3.9950145447220375,1.9970514996772655
2,F^MI?,6,0.75,0.02,0.20000000000000018,4.938317024461014e-05,0.004963449441904189,100.50892677239403,3.9950145447220375,1.9970514996772655
2,F^MI?,6,0.75,0.01,0.10000000000000009,3.1152667272493773e-06,0.0012476713103044546,400.50224251779724,3.9950145447220375,1.9970514996772655
2,F^MI?,6,0.75,0.005,0.050000000000000044,1.951600383520713e-07,0.00031235375183769065,1600.500565972427,3.9950145447220375,1.9970514996772655
2,F^MI?,6,0.75,0.002,0.020000000000000018,4.999374247915966e-09,4.999625096857585e-05,10000.501760678795,3.9950145447220375,1.9970514996772655
3,Fr@sO,4,0.75,0.08,0.7999999999999996,0.010673836942595827,0.07336471391957211,6.873321591301184,3.99501519921116,1.9970514996705173
3,Fr@sO,4,0.75,0.04,0.40000000000000036,0.0007620097018765648,0.019457301400532145,25.534191169240472,3.99501519921116,1.9970514996705173
