steps,original_success,reduced_success,absolute_difference
120,0.5524383008642951,0.9996177611247702,0.44717946026047506
240,0.5520461546005906,0.9996163992718251,0.4475702446712345
480,0.5519481183918695,0.9996160566583221,0.44766793826645257
960,0.5519236093639731,0.9996159708703515,0.44769236150637837
