source,graph_index,graph6,n,m,leaf,neighbour,neighbour_degree,sibling_leaf_count,reduced_graph6,reduced_n,reduced_m,alpha,reduced_alpha_plus_offset,optimum_count,lifted_optimum_count,lifted_optimum_coverage,endpoint_projector_obstruction,initial_projector_distance,original_minimum_gap,original_minimum_gap_s,reduced_minimum_gap,reduced_minimum_gap_s,native_gap_distortion,scale_controls
atlas,71,Fk_`?,7,6,3,0,3,2,DaO,5,3,5,5,1,1,1.0,False,1.0,0.8164953215890793,0.48000000000000004,0.8638475452747836,0.48000000000000004,1.0579944825569194,"[{""gap_distortion"": 1.0579944825569194, ""minimum_gap"": 0.8638475452747836, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2508475006335937, ""minimum_gap"": 1.0213111322887223, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.479533521364599, ""minimum_gap"": 1.2080321983284112, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,71,Fk_`?,7,6,4,0,3,2,DaO,5,3,5,5,1,1,1.0,False,1.0,0.8164953215890793,0.48000000000000004,0.8638475452747836,0.48000000000000004,1.0579944825569194,"[{""gap_distortion"": 1.0579944825569194, ""minimum_gap"": 0.8638475452747836, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2508475006335937, ""minimum_gap"": 1.0213111322887223, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.479533521364599, ""minimum_gap"": 1.2080321983284112, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,71,Fk_`?,7,6,5,2,3,2,Ds?,5,3,5,5,1,1,1.0,False,1.0,0.8164953215890793,0.48000000000000004,0.8638475452747834,0.48000000000000004,1.0579944825569192,"[{""gap_distortion"": 1.0579944825569192, ""minimum_gap"": 0.8638475452747834, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2508475006335933, ""minimum_gap"": 1.0213111322887218, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4795335213645995, ""minimum_gap"": 1.2080321983284117, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,71,Fk_`?,7,6,6,2,3,2,Ds?,5,3,5,5,1,1,1.0,False,1.0,0.8164953215890793,0.48000000000000004,0.8638475452747834,0.48000000000000004,1.0579944825569192,"[{""gap_distortion"": 1.0579944825569192, ""minimum_gap"": 0.8638475452747834, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.2508475006335933, ""minimum_gap"": 1.0213111322887218, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.4795335213645995, ""minimum_gap"": 1.2080321983284117, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.4}]"
atlas,72,FaOH_,7,6,0,1,3,1,D@o,5,3,4,4,2,2,1.0,False,1.0,0.009950493835965801,0.98,0.009950493836209162,0.98,1.000000000024457,"[{""gap_distortion"": 1.000000000024457, ""minimum_gap"": 0.009950493836209162, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3972521042799277, ""minimum_gap"": 0.013903348450927666, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9508172468595577, ""minimum_gap"": 0.019411594989971803, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,72,FaOH_,7,6,2,6,2,1,DiC,5,4,4,4,2,2,1.0,False,1.0,0.009950493835965801,0.98,0.009950493835974683,0.98,1.0000000000008926,"[{""gap_distortion"": 1.0000000000008926, ""minimum_gap"": 0.009950493835974683, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.397252104154607, ""minimum_gap"": 0.013903348449680664, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9508172462016242, ""minimum_gap"": 0.01941159498342504, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,72,FaOH_,7,6,5,4,2,1,DaK,5,4,4,4,2,1,0.5,True,1.0,0.009950493835965801,0.98,0.5602245440237703,0.56,56.30117994735631,"[{""gap_distortion"": 56.30117994735631, ""minimum_gap"": 0.5602245440237703, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 66.71312210650736, ""minimum_gap"": 0.6638285102988353, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 78.79736352450387, ""minimum_gap"": 0.7840726800409321, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,73,FEW`?,7,6,0,3,2,1,DYO,5,4,4,4,3,2,0.6666666666666666,True,1.0,0.007048388545248585,0.98,0.009950493835974683,0.98,1.4117402541155946,"[{""gap_distortion"": 1.4117402541155946, ""minimum_gap"": 0.009950493835974683, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.9725570405811395, ""minimum_gap"": 0.013903348449681552, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 2.754047234882803, ""minimum_gap"": 0.019411594983421487, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,73,FEW`?,7,6,5,2,3,2,DY?,5,3,4,4,3,3,1.0,False,1.0,0.007048388545248585,0.98,0.00704839619035269,0.98,1.0000010846598562,"[{""gap_distortion"": 1.0000010846598562, ""minimum_gap"": 0.00704839619035269, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3982202901868679, ""minimum_gap"": 0.009855199877087273, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9540434454309563, ""minimum_gap"": 0.01377285743769363, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,73,FEW`?,7,6,6,2,3,2,DY?,5,3,4,4,3,3,1.0,False,1.0,0.007048388545248585,0.98,0.00704839619035269,0.98,1.0000010846598562,"[{""gap_distortion"": 1.0000010846598562, ""minimum_gap"": 0.00704839619035269, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3982202901868679, ""minimum_gap"": 0.009855199877087273, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9540434454309563, ""minimum_gap"": 0.01377285743769363, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
