instance,base_mask,first_site,second_site,flux_rad,sin_flux,wilson_product_real,wilson_product_imag,edge_geometric_mean_rad_per_us,minimum_edge_rad_per_us,two_bit_leakage_ratio
L3,0,0,1,0.5383883709559552,0.5127530163343416,4.710824400388473,2.8134975823745996,1.530504393447748,0.5128719099803039,1.1309304763136945
L3,4,0,1,0.5845694782295439,0.5518403999632493,3.795285686692195,2.5114126962997543,1.4605826869623453,0.5204856173311218,1.081077280850962
L3,0,0,2,0.4345406916022016,0.42099382390389956,6.993672315891768,3.2459611025147264,1.666352573858518,0.8164347307811574,0.10410999153794158
L3,2,0,2,0.001536005299039172,0.001536004695053216,1.2856706993035845,0.0019747985600054446,1.0648356060235475,0.859453411472478,0.17609158842676845
L3,0,1,2,0.2218690662663516,0.22005325783830393,8.299975028103455,1.872331395442746,1.707905075945873,0.9419146457885463,0.07790870062100826
L3,1,1,2,-0.25731672731039934,-0.2544865416847031,0.1811432705168072,-0.047667928292683806,0.6578704272841214,0.5128719099803039,0.09349174254877292
irregular4,0,0,1,0.127562670210135,0.12721699661989577,1.8528398390835668,0.23764359530337553,1.1690827270394704,0.8001749693834026,1.2784030126963941
irregular4,4,0,1,-0.16240680395219356,-0.16169380540613243,5.914472402518563,-0.9690857719865007,1.564650015666454,1.2483884384056876,0.8968628496563198
irregular4,8,0,1,-0.6309963573313284,-0.5899495495106821,5.241237886151524,-3.8294678413256955,1.5961764107001228,0.9221155627062462,0.8637454934760941
irregular4,12,0,1,-0.15058633439104407,-0.15001785724072533,6.462648178342567,-0.9806099125046162,1.598962690603856,1.0489988794482399,0.9512371606899341
irregular4,0,0,2,0.13950447107952874,0.1390524168683513,0.6945927359313371,0.09753232301498313,0.9151504690630251,0.21121279004316204,1.8184101602646023
irregular4,2,0,2,0.1479290954182102,0.1473901629380738,1.280529569519043,0.19082153270468552,1.0666936757033383,0.5961078006565442,0.2816411069411005
irregular4,8,0,2,-1.0442406020189612,-0.8645431452853634,1.323096721891879,-2.2761011223795165,1.2737999288702662,0.5113311595012602,0.30336277352712643
irregular4,10,0,2,0.04247454901225182,0.042461778865057254,1.4332787307937886,0.06091450380037178,1.0944114589700453,0.6912332053693327,0.25041336484876386
irregular4,0,0,3,3.04232607176747,0.09910363572026487,-3.7869843731875643,0.37716063737310657,1.3967194900904545,0.7493108024539267,1.508241928681169
irregular4,2,0,3,-0.42928227774426625,-0.4162183101666487,0.4423283149750995,-0.20247694776710787,0.8351482990933644,0.24423396819629617,0.3755489851244211
irregular4,4,0,3,-0.34276254512907983,-0.3360902186088318,2.2538632184131333,-0.8042869156088571,1.2437662920131527,0.5400451270641905,0.18842416669152795
irregular4,6,0,3,8.175579388536846e-05,8.175579379429237e-05,1.4128282270437955,0.00011550689358297284,1.0902405755249018,0.7432547617870333,0.0651824916369723
irregular4,0,1,2,-0.09462358955761613,-0.0944824487561643,1.5457458632777434,-0.14670212223252443,1.1162752969917162,0.5961078006565442,1.2448352756562524
irregular4,1,1,2,0.20377050894339396,0.20236325962276094,0.19371420386939003,0.04002881271156788,0.6668992985284974,0.21121279004316204,0.4759218019220047
irregular4,8,1,2,-0.4392891854364198,-0.4252962468569987,0.4388587198417667,-0.2062251815827359,0.8344734742222725,0.5113311595012602,0.23743151760601997
irregular4,9,1,2,0.16701594265450875,0.16624055871862706,0.6925610490665703,0.11675637408287481,0.915452684124103,0.6540612675982699,0.16892211580129698
irregular4,0,1,3,0.35801656522295816,0.35041725125882567,0.5277415543263013,0.19744927365616965,0.8663981483732295,0.24423396819629617,1.4591620266039285
irregular4,1,1,3,-2.3550327567473146,-0.7079277734343817,-0.39940846771275196,-0.4003375598384635,0.8671801869700452,0.693932357559779,0.5193910291321422
irregular4,4,1,3,-0.3883267997838216,-0.37864032561893074,0.7474373944327533,-0.30577689460876156,0.9479696869482724,0.5400451270641905,0.23736879302551533
irregular4,5,1,3,-0.057302968422005815,-0.05727161327753591,0.740629042482302,-0.04248675641568994,0.9280653109281526,0.662789399609264,0.10994665592548186
irregular4,0,2,3,-0.2370211941516388,-0.23480814886523224,0.6233767811501743,-0.15058401595526122,0.8948833496992874,0.5113311595012602,1.1501390545793877
irregular4,1,2,3,-2.4383647379496987,-0.6466831728182455,-0.05233152338606442,-0.044367785553838954,0.5117926542506992,0.21121279004316204,1.1617145967471498
irregular4,2,2,3,-0.638698963279615,-0.5961513801872638,0.06005366319810406,-0.04459125723851621,0.5229658028044062,0.24423396819629617,0.8356380998129536
irregular4,3,2,3,-0.10388038333550485,-0.10369365292547916,0.4165301870373246,-0.04342563192870373,0.8044489575349921,0.693932357559779,0.5423019856841591
