case,chi,principal_flux_rad,sin_flux,edge_geometric_mean_rad_per_us,two_bit_leakage_ratio,branch_cut_margin_rad,reverse_transpose_error
development,0.2422913613617108,1.5705057445696031,0.9999999577809855,1.9945678355348673,0.31286595460395594,0.9846288517323125,6.058482374982702e-10
reversed_schedule,-0.2422913613617108,-1.5705057444413524,-0.9999999577809482,1.9945678355509482,0.312865954625737,0.9846288514778014,6.058482374982704e-10
palindrome,0.0,-3.141592653420631,-1.691621401915559e-10,1.8223763809286737,0.2939522625579866,0.9742035410670971,8.574119598792646e-11
zero_interaction,8.497386475014856e-11,1.9985009003384733e-12,1.9985009003384733e-12,1.926287350798289,2.2326088903337453e-13,0.32004167958290886,1.4679830478173688e-09
equal_mask,0.0,-2.7774598353195557e-15,-2.7774598353195557e-15,1.3616491629679826,0.8949158536297396,0.16098487095293246,4.1834614939173116e-10
local_envelope_off,0.0,1.863881664964423e-16,1.863881664964423e-16,1.7570251137977237,1.4063398993821175,1.102229476544689,3.56291259681425e-10
