distance_um,interaction_rad_per_us,analytic_flux_rad
22.0,0.04780388595142927,0.0012638117805898743
26.0,0.017545235371857475,0.0004567817245561545
30.0,0.007434842249657065,0.00019256595138683608
36.0,0.002489913626347986,6.432697457564585e-05
44.0,0.0007469357179910824,1.9279880934197635e-05
54.0,0.0002185932401732114,5.640794498051882e-06
