distance_um,interaction_rad_per_us,analytic_flux_rad,numerical_flux_rad,circular_error_rad
14.0,0.7198318727740992,0.02605396208297417,0.026053962085461388,2.4872187642799304e-12
15.0,0.47582990397805214,0.015442282334828583,0.01544228233587035,1.0417673668161598e-12
16.0,0.3230571746826172,0.009767046157778292,0.00976704615837549,5.971976385632516e-13
18.0,0.1593544720862711,0.004453376071157256,0.004453376071405047,2.477913707554791e-13
20.0,0.0846875,0.0022808183647632374,0.0022808183648937463,1.3050888494903212e-13
22.0,0.04780388595142927,0.0012638117805898743,0.0012638117806646728,7.479845735847146e-14
