solver,substeps_per_interval,chi,principal_flux_rad,sin_flux,unitarity_error
midpoint_1,1,0.2515537987685734,1.5351123304610226,0.9993633937588753,5.630411638563705e-16
midpoint_2,2,0.24476120620257485,1.5617835090446759,0.9999593848330356,6.718006839671867e-16
midpoint_4,4,0.24291798298510692,1.5683312491343548,0.9999969616976023,9.174423894591074e-16
midpoint_8,8,0.24244858296565203,1.5699624572146649,0.9999996523307817,1.7728016389162008e-15
midpoint_16,16,0.2423307020673915,1.5703699430125357,0.9999999090984365,5.188437242123102e-15
midpoint_32,32,0.24230119875525263,1.570471795368269,0.999999947339677,3.0792463053653128e-15
midpoint_64,64,0.24229382086067666,1.5704972572743485,0.9999999552787113,4.374857821256627e-15
adaptive_DOP853,,0.2422913613617108,1.5705057445696031,0.9999999577809855,1.187976791276817e-11
