draw,distance_um,mask_0,mask_1,chi,principal_flux_rad,sin_flux,edge_geometric_mean,two_bit_leakage_ratio,branch_cut_margin_rad
0,9.473889369537595,0.005542205133961498,0.9840525725840582,0.24519937613880974,1.5699480077938592,0.9999996401774578,2.003411870531099,0.31529714783189383,0.971762211946892
1,9.428755314514978,0.010520123674760294,1.0,0.25679851776365586,1.5439265814396659,0.9996390301109066,2.026890055693325,0.3399557038811707,0.9446782809269125
2,9.466204767298882,0.005146406783161959,0.9962701731967193,0.23778300762315946,1.5310337743605293,0.9992095738628191,1.9729486915107188,0.30842198138392624,0.9464927322995069
3,9.476273352470491,0.00814938561483657,0.9925189665551643,0.20323566525349282,1.5670310377992025,0.9999929113077644,1.8787702488366824,0.2894566756255698,0.9993324972245765
4,9.487213372103406,0.0,1.0,0.24047027468797325,1.554172518068289,0.9998618276737598,1.9881491383775403,0.3081528331871736,0.997772707328727
5,9.440021973714584,0.0,0.9944267965883913,0.21962977310763288,1.5594287985429833,0.9999353903464675,1.9283827267804987,0.3227526937012168,0.9370409373962487
6,9.474428945075134,0.016522952563752805,1.0,0.23259784725603636,1.5243194458171099,0.9989201441713743,1.960836691197005,0.31180285207562314,0.9318130655042669
7,9.51423617775695,0.02057647522049984,0.9962495282834144,0.2614754461319049,1.5212083731122163,0.9987707693420333,2.0517430473433262,0.33293348080453183,0.9477687671704009
8,9.470719242881428,0.01941468618756075,0.9873125274726359,0.2291550354409322,1.573623997766896,0.9999960021411008,1.9625710362069126,0.32119888966597543,0.9825073802418087
9,9.515384591348589,0.0013298303973047186,0.9950294330840733,0.2174879771422012,1.5209250369288974,0.9987566849477251,1.91603611152509,0.27897285433960917,0.9555442009974429
10,9.469782565865557,0.0,0.9952755805871741,0.2655712758935615,1.6344592231152044,0.9979742021619351,2.0796957792812325,0.35007731872700565,0.8324675259698346
11,9.480082094848175,0.0014917668840859577,1.0,0.2352786483603885,1.5758644757636326,0.9999871569605061,1.9779707157913273,0.31270580072369514,0.9770033238494724
12,9.503187198229634,0.016054858772279194,0.9983275271029738,0.2169474444488188,1.602711210088713,0.9994907633383707,1.9494744537340076,0.3421203377213313,0.8409658316090276
13,9.506772843618396,0.0,0.9980487971196418,0.20441307386901353,1.6143105664655029,0.9990534048510493,1.915355901272015,0.3347713125476871,0.8155463158226621
14,9.48579979266306,0.0,0.9908307841733726,0.19821485615320994,1.5530788174102919,0.9998430490363759,1.8648472281470894,0.29446349391681925,1.020622181352946
15,9.458707115090212,0.0,0.9993754199826805,0.20457431198850975,1.609166205593562,0.9992639665090972,1.9022115192973426,0.3279511377253985,0.8693004275917864
16,9.511280699029713,0.0031127826375152807,0.997522025163681,0.21409387158276624,1.566157325764016,0.9999892398540146,1.9225500415586871,0.3090874487287774,0.9607707939596062
17,9.480165090894008,0.0,0.9948711925778612,0.2158261838302815,1.6288351925795335,0.9983162177619346,1.9433353341837132,0.3328182151571859,0.8487624628724646
18,9.432298867031625,0.008833508883575975,0.9973845259454911,0.260855343664109,1.573739795355255,0.9999956679995448,2.0404631480806286,0.3265570016084962,0.8925855499229054
19,9.500107301750198,0.002289909482535326,1.0,0.2438549541772105,1.534819605406977,0.9993529075592374,1.9949735503360735,0.3002796765579732,0.9413746214814753
20,9.46367703180725,0.024315893483513068,1.0,0.2396279339018155,1.4911192964187623,0.9968274643329408,1.9701202987264694,0.2799803059004955,0.644441154701695
21,9.442513212247306,0.0,0.9817714785915345,0.23213788506598473,1.5884215920175837,0.9998446790338485,1.9638097661607812,0.30918666293961955,0.9868198319354664
22,9.493599852707842,0.0,1.0,0.22913569208861614,1.554141969045702,0.9998613193894847,1.958400855139801,0.30861874659724853,0.9846553051780149
23,9.511791061298638,0.0,0.9929796062726169,0.22714231710607677,1.5537067243986094,0.999853976298927,1.9565880355091398,0.30874351887407875,0.972058325509555
24,9.466110972175889,0.0,0.9934651458105503,0.23998578935666,1.609742249277832,0.9992417034159787,2.0095148169250594,0.3563133892416396,0.7907243740130117
25,9.483334854567536,0.016064131963221172,1.0,0.2650542138785408,1.5306870170825284,0.9991957294688412,2.051548552975332,0.3067306104336815,0.7872222776380005
26,9.489402398995368,0.0,0.9996601866940316,0.2625589405619809,1.6318426780851822,0.9981372500907116,2.0713613334850733,0.3324795943916866,0.889757801520465
27,9.411422961622636,0.0018150841322916427,0.9982272380223403,0.2547882510801495,1.5823408780198442,0.9999333624086152,2.0200121810324543,0.31727939928995197,0.8817078797862461
28,9.447223155535978,0.0005364233697019087,1.0,0.24806999755981113,1.5917688722178869,0.999780084230204,2.0091610094062253,0.31140631918020595,0.9385281726220702
29,9.499887983056182,0.0142925415364335,1.0,0.24552996163322832,1.5844655782780006,0.9999065772366176,2.0184126076202658,0.33378208885975114,0.9122512939012224
30,9.494973380304687,0.005776313448007957,0.9784868598111452,0.23476392324943465,1.4775091933043554,0.9956519100023109,1.9565508497283037,0.2812064442006153,0.8259203578605363
31,9.412315685958113,0.005951344537369864,0.9973485679287092,0.22317110498160136,1.5944091590427087,0.9997212300296974,1.9359202914274674,0.30836212003788555,0.9447041776401433
32,9.485330135130457,0.002687939381490528,1.0,0.20702536980003022,1.521315121019275,0.9987760548926214,1.8821029224260812,0.2852554217338091,0.9879532378943021
33,9.37182580214182,0.0,1.0,0.2603226560432217,1.597761370071633,0.9996364652489299,2.0351892555641258,0.33853967885569747,0.9214541447314435
34,9.530270322176634,0.005601775855015026,0.9989244683296784,0.21175770958098702,1.5343847238114123,0.9993371708207854,1.9142114271143937,0.3093693008908873,0.9604495996390896
35,9.455283305485132,0.00729062329628417,1.0,0.23973516224801036,1.5834570662924563,0.9999198539082763,2.0025594480959557,0.3600895271234562,0.8049077423623543
36,9.481164235405924,0.004864559718909385,0.9956543318222331,0.2321853524975687,1.5645611044537995,0.9999805610641576,1.972145744866336,0.326724002480233,0.9223558698309278
37,9.404483235832089,0.0022173976873597944,0.9898370212254742,0.25056286188246324,1.5975171995424318,0.9996430187210994,2.0129056337495066,0.32678853433535565,0.9387696222882256
38,9.445104664338093,0.0034089016563994498,0.9892175052187308,0.237936819067112,1.5851071135102595,0.9998976024393849,1.9864656596472572,0.33305422647460436,0.9118236611866628
39,9.41721322690898,0.01878497587355143,0.9997319533974697,0.2731504673325036,1.4694098196538423,0.9948647891784074,2.0542590220703145,0.2920067872882077,0.5207571882997653
40,9.421498216433589,0.004419706788439366,0.983219618123938,0.2518148177234197,1.6546899382663625,0.9964829944674449,2.0310461797285417,0.3213952233210678,0.9344582819999792
41,9.451915612061018,0.0,1.0,0.24142346222380243,1.611542300511967,0.999169997655659,1.9941892152657166,0.3022112488932335,0.9311859163064429
42,9.443602301063796,0.0,0.9940911886146251,0.22522300350373461,1.5637381179754588,0.9999750909475414,1.9419960918409243,0.3143093042541612,0.9795371925361924
43,9.483203232942646,0.0,0.9981244069650504,0.267234919657249,1.5580336556950318,0.9999185582186829,2.0624002106718784,0.31676990841633645,0.9297732681870627
44,9.492359470400052,0.011269633067197827,1.0,0.2601716828160511,1.5479635439781616,0.9997393433388583,2.048419534861202,0.3357509067748417,0.9257953005162407
45,9.476106041988075,0.0,1.0,0.2280680896328516,1.5650305134681042,0.9999833777443904,1.9515136262426913,0.2993835110372215,0.9912618518023888
46,9.43888381642154,0.005206543852108087,1.0,0.24856990757181122,1.6465282609689857,0.9971337073929052,2.0234933992957393,0.3201937063160315,0.9584333298173662
47,9.457613282056013,0.0,1.0,0.2534912652330457,1.5655727667634574,0.9999863572413199,2.022369744264736,0.3205125001594946,0.9716963885946419
48,9.45884380884412,0.008024060432083223,1.0,0.2453617647370789,1.5664087790054666,0.9999903747276387,2.0018803442706607,0.3213963683342532,0.9677127263117398
49,9.440411329182545,0.008498466699255731,0.9950817601575688,0.23083261300712793,1.595552711081483,0.9996935763690465,1.9634945534583803,0.3149776019495131,0.9748662671298289
50,9.457154115377904,0.007605180074175159,0.9974635923688825,0.25170132525933636,1.5795569899243513,0.9999616256362006,2.0284994172865307,0.34815766712117857,0.8686213593197851
51,9.510605155368204,0.0010992630845588108,0.9937710463590163,0.2494862121643971,1.5370690821001625,0.9994312903959296,2.0197655906004903,0.32775271322185595,0.91733190365089
52,9.458957599957394,0.020088737235435205,1.0,0.25666267577469865,1.6063136147011774,0.9993693274323568,2.03940071792607,0.30799624776139356,0.7951167929148926
53,9.521891725935307,0.0,0.9936595750264329,0.22919115375646715,1.6109931481769069,0.9991922165511737,1.9879072499366028,0.34015387400406305,0.816813027260483
54,9.403783723146166,0.0,0.9934251609878392,0.2822590034685941,1.6825763653719135,0.9937591137563937,2.125941218465815,0.37864825148895087,0.7614742791397182
55,9.52070574493136,0.01342354248968266,1.0,0.2088957066955941,1.5565184653718391,0.9998980730681556,1.904577681342887,0.29976989339501814,1.0208023472143504
56,9.470156782115142,0.009584227410032307,1.0,0.24214492160499754,1.608356072629432,0.9992947156663503,1.999553595162651,0.30129589571799376,0.8936591459090644
57,9.453108629047472,0.005515074787568563,0.9981481105332652,0.3108476476499835,1.549816345931793,0.9997799282738931,2.1709975995146578,0.3439720548210762,0.819597364594467
