regime,tau,surrogate_max_gram_error,prefix_max_gram_error,max_error_improvement,surrogate_relative_frobenius_error,prefix_relative_frobenius_error,frobenius_improvement,case_passes
uniform,0.05,0.005996097075731411,0.06323420243082081,10.545893709218747,0.00515374779061857,0.05481665059809637,10.63626953144269,True
uniform,0.1,0.005996097075731507,0.06452659990432559,10.761433494045546,0.005058818055681991,0.05540432906789061,10.952030386952003,True
uniform,0.15000000000000002,0.00599609707573141,0.06577009012926995,10.96881676507001,0.00496846594970214,0.05598118922475258,11.267298556832952,True
uniform,0.2,0.005996097075731548,0.06696200623356457,11.16759875429384,0.004883359359041311,0.05654511818218145,11.579143377497052,True
uniform,0.25,0.005996097075731328,0.06809984628808653,11.357362202108874,0.004804112277542796,0.0570940240547696,11.884406682512425,True
uniform,0.3,0.005996097075731176,0.06918128260449334,11.537718907937666,0.004731282484302839,0.05762584613408531,12.17975175341418,True
uniform,0.35000000000000003,0.005996097075731355,0.07020416983176377,11.708311080537474,0.004665379099208868,0.058138565186910796,12.461702243397465,True
uniform,0.4,0.005996097075731563,0.0711665517992109,11.868812479245612,0.004606880029601281,0.05863021384110492,12.726663916659293,True
uniform,0.45,0.005996097075731329,0.07206666706336727,12.018929339061357,0.004556258536460914,0.05909888700754473,12.970924835501092,True
uniform,0.5,0.005996097075731494,0.07290295312571601,12.158401074055696,0.004514017215707869,0.059542752269434084,13.190634732680532,True
uniform,0.55,0.0059960970757313966,0.07367404929780602,12.287000755206979,0.00448072668315647,0.059960060153383274,13.381771394086487,True
uniform,0.6000000000000001,0.005996097075731395,0.07437879819992217,12.4045353603368,0.0044570652599337,0.060349154180659705,13.540110063714305,True
uniform,0.6500000000000001,0.005996097075731258,0.07501624588932317,12.510845795500153,0.004443855083759079,0.06070848058264704,13.66121969290084,True
uniform,0.7000000000000001,0.0059960970757311485,0.07558564062417725,12.605806688838594,0.004442089449075332,0.06103659755247235,13.740515190475906,True
uniform,0.7500000000000001,0.0059960970757311745,0.07608643027983168,12.689325959679126,0.004452945970172038,0.06133218389576401,13.77339503030046,True
uniform,0.8,0.005996097075730913,0.07651825844501134,12.761344167478128,0.00447778056900526,0.06159404693824247,13.75548577895714,True
uniform,0.8500000000000001,0.0059960970757310895,0.07688095923697429,12.821833647114591,0.004518098525155743,0.06182112954700368,13.68299721725804,True
uniform,0.9000000000000001,0.005996097075730967,0.07717455088661017,12.870797439049474,0.004575501030060814,0.0620125161264863,13.55316406204854,True
uniform,0.9500000000000001,0.005996097075731089,0.07739922815683568,12.90826802489661,0.004651608804664562,0.06216743745962271,13.36471747092794,True
uniform,1.0,0.00599609707573113,0.07755535367040053,12.934305881120824,0.004747967989016964,0.06228527427982095,13.118301223576006,True
uniform,1.05,0.005996097075731268,0.07764344823619425,12.948997865703342,0.004865946956683017,0.06236555948022555,12.816736400007624,True
uniform,1.1,0.006168894329846482,0.07766418027615424,12.589643479609899,0.00500663499903975,0.0624079788929313,12.46505465345504,True
uniform,1.1500000000000001,0.006451549870924139,0.0776183544677068,12.030962485079344,0.005170754146436032,0.06241237060196722,12.070264575426634,True
uniform,1.2000000000000002,0.006776879166371833,0.07750689972905746,11.436960557547119,0.005358593449151065,0.06237872278915921,11.640876170414002,True
uniform,1.2500000000000002,0.007142772795620294,0.07733085668625618,10.8264477814096,0.00556997127474789,0.06230717015033245,11.18626417928028,True
uniform,1.3,0.007546329311212257,0.07709136477153744,10.215743521422514,0.005804226641871016,0.062197988959439635,10.715982127705105,True
uniform,1.35,0.007984070313335465,0.07678964911157907,9.617857320635125,0.006060236530735278,0.062051590898568966,10.239136803302355,True
uniform,1.4000000000000001,0.008452133658257671,0.07642700737176185,9.042333032333586,0.0063364533994623605,0.06186851581073759,9.763902913889819,True
uniform,1.4500000000000002,0.008946432493607537,0.07600479672790074,8.495542416735182,0.006630956111851918,0.06164942356821154,9.297214840258363,True
uniform,1.5000000000000002,0.009462778336750579,0.07552442113998123,7.981210005381521,0.00694150790538045,0.061395085280092625,8.844632335937343,True
uniform,1.55,0.009996972517940619,0.07498731910292085,7.5010028254402235,0.007265616345589288,0.0611063740875466,8.410349677304698,True
uniform,1.6,0.01054487271218555,0.07439495204706957,7.055082984652769,0.007600591840726288,0.06078425581196311,7.997305615894612,True
uniform,1.6500000000000001,0.011102441331300056,0.07374879355596678,6.642574489275059,0.00794360279663121,0.060429779729532916,7.607351635854765,True
uniform,1.7000000000000002,0.0116657814468019,0.07305031956062208,6.2619310925500296,0.008291726650944659,0.060044069744570924,7.241443461927225,True
uniform,1.7500000000000002,0.012231164468698619,0.07230099965838144,5.911211466693177,0.008641996783972206,0.05962831622326657,6.899830874023888,True
uniform,1.8,0.012795052442922977,0.07150228969024426,5.588276406775701,0.008991445710799852,0.059183768729699375,6.582230559276164,True
uniform,1.85,0.01335411672362536,0.07065562569349997,5.290924675572137,0.009337145106857977,0.05871172987774618,6.287974451058214,True
uniform,1.9000000000000001,0.013905253956807407,0.06976241932695769,5.016982756564834,0.009676243199567775,0.05821355047720836,6.016131392791851,True
uniform,1.9500000000000002,0.014445599746245175,0.06882405484407302,4.764361193238956,0.010005999946405041,0.057690626111725096,5.765603280105173,False
uniform,2.0,0.014972540009310765,0.06784188766532238,4.531087418910518,0.010323820266477506,0.05714439524184975,5.5351985763839195,False
uniform,2.05,0.015483719818379479,0.06681724457553996,4.315322503848629,0.010627285430451393,0.05657633888114725,5.32368677320302,False
uniform,2.1,0.015977049421172375,0.0657514255450927,4.115367225312616,0.010914182559690087,0.05598798184858538,5.129837396652011,False
uniform,2.15,0.016450707109126553,0.06464570714613384,3.92966130375451,0.011182532047831765,0.05538089555892513,4.952446844957909,False
uniform,2.1999999999999997,0.016903138633888672,0.06350134750720063,3.7567784825410113,0.011430612599495462,0.05475670227610842,4.790355879834939,False
uniform,2.25,0.01733305294226348,0.06231959272162858,3.5954192795242466,0.011656983481769863,0.05411708072422747,4.6424601020375595,False
uniform,2.3,0.017739414097957353,0.061895719086766665,3.4891636637477106,0.011860503504285387,0.05346377292733819,4.507715284432982,False
uniform,2.35,0.018121429375817694,0.06189571908676658,3.4156091003154465,0.012040346182996011,0.05279859213326574,4.385139042582562,False
uniform,2.4,0.018478533644181908,0.06189571908676657,3.349601233442831,0.01219601050198601,0.052123431666850316,4.273810001915174,False
uniform,2.45,0.01881037028749032,0.06189571908676649,3.2905104014847453,0.01232732666828742,0.05144027455311707,4.172865369541102,False
uniform,2.5,0.01911676905870067,0.06189571908676655,3.2377709275404865,0.012434456259381324,0.05075120374792888,4.081497629591888,False
uniform,2.55,0.019397721383406178,0.06189571908676642,3.1908757664554996,0.012517886195234635,0.0500584128091613,3.998950943348387,False
uniform,2.6,0.01965335375873576,0.0618957190867662,3.1493718500464096,0.012578416030730778,0.04936421683087083,3.924517738184788,False
uniform,2.65,0.01988389999386472,0.0618957190867663,3.1128560848658733,0.012617138165331472,0.04867106344120123,3.85753590104421,False
uniform,2.7,0.020089673119070582,0.06189571908676668,3.080971936174051,0.012635410710425838,0.04798154362652103,3.797386941045778,False
uniform,2.75,0.02027103784110107,0.06189571908676659,3.053406518795417,0.012634822946815337,0.04729840208432054,3.743495439818752,False
uniform,2.8,0.02042838443953744,0.061895719086766235,3.0298881083798395,0.01261715354996994,0.046624546721416825,3.695330054973287,False
uniform,2.85,0.020562104978730865,0.06189571908676654,3.0101839841198434,0.012584322061528404,0.04596305679938892,3.6524062698540445,False
uniform,2.9,0.020672572651762592,0.06189571908676651,2.9940985154302573,0.012538334439956902,0.04531718908603492,3.614290981234242,False
uniform,2.95,0.02076012497804241,0.06189571908676664,2.9814714098413457,0.012481223922192896,0.04469038120407358,3.5806088795994997,False
uniform,3.0,0.020825051448596057,0.06189571908676636,2.9721760466977925,0.012414988852748847,0.04408625118555521,3.5510504043500544,False
uniform,3.05,0.020867586059131877,0.06189571908676636,2.9661178303697535,0.01234152955677214,0.043508592058328695,3.5253808580358927,False
uniform,3.1,0.020887904999092516,0.061895719086766304,2.9632325065369356,0.012262586707061936,0.04296136013252633,3.5034500598299694,False
uniform,3.15,0.020886129584937244,0.06189571908676639,2.9634843945143685,0.012179683911276263,0.04244865555129453,3.4852017392663597,False
uniform,3.2,0.020862334348276904,0.06189571908676634,2.9668644962484043,0.01209407737126569,0.04197469365841268,3.470681753544948,False
uniform,3.25,0.020816560024223062,0.061895719086766214,2.97338844721422,0.0120067153955293,0.04154376585757541,3.4600441910236523,False
uniform,3.3,0.020748831041126504,0.061895719086766436,2.983094274760935,0.01191821025063142,0.04116018893426297,3.453554524437285,False
